"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANVAN403_02191_SEQ_00<tab>Muna Vanu is looking intently at his sash.<br>※The difficulty of this quest will be synced to your current level.","TEXT_BANVAN403_02191_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var><br>ナッキ島のムナバヌは、冒険者に頼みがあるようだ。","","False","0x00000000","",""
"","TEXT_BANVAN403_02191_SEQ_01<tab>Muna Vanu points out a noticeable hole in his sash, but is too embarrassed to ask Linu Vanu to make a new one for him. Speak with Linu Vanu on his behalf.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANVAN403_02191_SEQ_01<tab>※本クエストには<br>「<var 48 F201FC /var><var 49 F201FD /var><var 49 01 /var><var 48 01 /var> レベルアジャスト受注クラス・ジョブ制限」が、<br>　設定されています。<br>　受注時と同じクラス・ジョブでのみ進行できます。<br><br>ムナバヌは、グンド族の格に関わることについて、冒険者の力を借りたいらしい。ナッキ島の「群雲のリヌバヌ」と話そう。","","False","0x00000001","",""
"","TEXT_BANVAN403_02191_SEQ_02<tab>Linu Vanu realizes that many of the Gundu's sashes are becoming tattered as they build their new home and decides to make fresh traditional garments for the entire tribe. To do so, he needs silk cocoons from the wamoura breeding ground south of Ok' Zundu. Harvest the cocoons and bring them back to Linu Vanu.","TEXT_BANVAN403_02191_SEQ_02<tab>リヌバヌから、危険なワモーラの生息地帯にある、<var 28 ((EventItem)) F61E8BFE01 /var>を採取するよう依頼された。オク・ズンド南で「<var 28 ((EventItem)) F61E8BFE01 /var>」を4個手に入れよう。","","False","0x00000002","",""
"","TEXT_BANVAN403_02191_SEQ_03<tab>You have harvested the wamoura cocoons. Return to Ok' Gundu Nakki to deliver them to Linu Vanu.","TEXT_BANVAN403_02191_SEQ_03<tab><var 28 ((EventItem)) F61E8BFE01 /var>を手に入れた。ナッキ島の「群雲のリヌバヌ」に「<var 28 ((EventItem)) F61E8BFE01 /var>」を渡そう。","","False","0x00000003","",""
"","TEXT_BANVAN403_02191_SEQ_04<tab>Linu Vanu is impressed with the cocoons you have delivered to him, and remarks that the silk used for the sashes will undoubtedly make the Vundu envious of Ok' Gundu Nakki's prosperity. He anticipates with bated breath that the cocoons might hold juicy wamoura grubs as a surprise snack, and suggests you try one next time...if you are daring.","TEXT_BANVAN403_02191_SEQ_04<tab>リヌバヌに<var 28 ((EventItem)) F61E8BFE01 /var>を渡した。彼はマユを使って、ブンド族から侮られないような、立派な衣を作ってみせると意気込んでいた。お礼として、マユの中の幼虫を渡されかけたが……今回は、丁重に断っておこう。","","False","0x00000004","",""
"","TEXT_BANVAN403_02191_SEQ_05<tab>","TEXT_BANVAN403_02191_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANVAN403_02191_SEQ_06<tab>","TEXT_BANVAN403_02191_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANVAN403_02191_SEQ_07<tab>","TEXT_BANVAN403_02191_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANVAN403_02191_SEQ_08<tab>","TEXT_BANVAN403_02191_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANVAN403_02191_SEQ_09<tab>","TEXT_BANVAN403_02191_SEQ_09<tab>","","False","0x00000009","",""
