"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBFST103_00678_SEQ_00<tab>Miounne has information on a new task.","TEXT_SUBFST103_00678_SEQ_00<tab>Miounne möchte dich zur Aben<var 16 /var>teurer<var 16 /var>gilde nach Ul'dah schicken.","","False","0x00000000","",""
"","TEXT_SUBFST103_00678_SEQ_01<tab>According to Miounne, the Adventurers' Guild in Ul'dah is recruiting people for an as-yet-undisclosed task. You can learn more by speaking to Momodi, the proprietress of the Quicksand.","TEXT_SUBFST103_00678_SEQ_01<tab>Miounne zufolge könnte die Aben<var 16 /var>teurer<var 16 /var>gilde in Ul'dah deine Hilfe bei einer besonderen Aufgabe gut gebrauchen. Reise nach Ul'dah und melde dich bei Momodi im Treibsand!","","False","0x00000001","",""
"","TEXT_SUBFST103_00678_SEQ_02<tab>You have expressed your interest in the task to Momodi. Let her know when you are ready to hear the details.","TEXT_SUBFST103_00678_SEQ_02<tab>Momodi freut sich über dein Angebot, ihr zu helfen. Sprich sie wieder an, sobald du deinen Worten Taten folgen lassen willst.","","False","0x00000002","",""
"","TEXT_SUBFST103_00678_SEQ_03<tab>","TEXT_SUBFST103_00678_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_SUBFST103_00678_SEQ_04<tab>","TEXT_SUBFST103_00678_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBFST103_00678_SEQ_05<tab>","TEXT_SUBFST103_00678_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBFST103_00678_SEQ_06<tab>","TEXT_SUBFST103_00678_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBFST103_00678_SEQ_07<tab>","TEXT_SUBFST103_00678_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBFST103_00678_SEQ_08<tab>","TEXT_SUBFST103_00678_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBFST103_00678_SEQ_09<tab>","TEXT_SUBFST103_00678_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBFST103_00678_SEQ_10<tab>","TEXT_SUBFST103_00678_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBFST103_00678_SEQ_11<tab>","TEXT_SUBFST103_00678_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBFST103_00678_SEQ_12<tab>","TEXT_SUBFST103_00678_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBFST103_00678_SEQ_13<tab>","TEXT_SUBFST103_00678_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBFST103_00678_SEQ_14<tab>","TEXT_SUBFST103_00678_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBFST103_00678_SEQ_15<tab>","TEXT_SUBFST103_00678_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBFST103_00678_SEQ_16<tab>","TEXT_SUBFST103_00678_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBFST103_00678_SEQ_17<tab>","TEXT_SUBFST103_00678_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBFST103_00678_SEQ_18<tab>","TEXT_SUBFST103_00678_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBFST103_00678_SEQ_19<tab>","TEXT_SUBFST103_00678_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBFST103_00678_SEQ_20<tab>","TEXT_SUBFST103_00678_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBFST103_00678_SEQ_21<tab>","TEXT_SUBFST103_00678_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBFST103_00678_SEQ_22<tab>","TEXT_SUBFST103_00678_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBFST103_00678_SEQ_23<tab>","TEXT_SUBFST103_00678_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBFST103_00678_TODO_00<tab>Speak with Momodi at the Quicksand in Ul'dah.","TEXT_SUBFST103_00678_TODO_00<tab>Mit Momodi im Treibsand sprechen","","False","0x00000018","",""
"","TEXT_SUBFST103_00678_TODO_01<tab>","TEXT_SUBFST103_00678_TODO_01<tab>","","False","0x00000019","",""
"","TEXT_SUBFST103_00678_TODO_02<tab>","TEXT_SUBFST103_00678_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_SUBFST103_00678_TODO_03<tab>","TEXT_SUBFST103_00678_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_SUBFST103_00678_TODO_04<tab>","TEXT_SUBFST103_00678_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_SUBFST103_00678_TODO_05<tab>","TEXT_SUBFST103_00678_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_SUBFST103_00678_TODO_06<tab>","TEXT_SUBFST103_00678_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_SUBFST103_00678_TODO_07<tab>","TEXT_SUBFST103_00678_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_SUBFST103_00678_TODO_08<tab>","TEXT_SUBFST103_00678_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_SUBFST103_00678_TODO_09<tab>","TEXT_SUBFST103_00678_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_SUBFST103_00678_TODO_10<tab>","TEXT_SUBFST103_00678_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_SUBFST103_00678_TODO_11<tab>","TEXT_SUBFST103_00678_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_SUBFST103_00678_TODO_12<tab>","TEXT_SUBFST103_00678_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_SUBFST103_00678_TODO_13<tab>","TEXT_SUBFST103_00678_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_SUBFST103_00678_TODO_14<tab>","TEXT_SUBFST103_00678_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_SUBFST103_00678_TODO_15<tab>","TEXT_SUBFST103_00678_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_SUBFST103_00678_TODO_16<tab>","TEXT_SUBFST103_00678_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_SUBFST103_00678_TODO_17<tab>","TEXT_SUBFST103_00678_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_SUBFST103_00678_TODO_18<tab>","TEXT_SUBFST103_00678_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_SUBFST103_00678_TODO_19<tab>","TEXT_SUBFST103_00678_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_SUBFST103_00678_TODO_20<tab>","TEXT_SUBFST103_00678_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_SUBFST103_00678_TODO_21<tab>","TEXT_SUBFST103_00678_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_SUBFST103_00678_TODO_22<tab>","TEXT_SUBFST103_00678_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_SUBFST103_00678_TODO_23<tab>","TEXT_SUBFST103_00678_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_SUBFST103_00678_MIOUNNE_000_1<tab>So, you're not averse to taking a little trip? Wonderful!","TEXT_SUBFST103_00678_MIOUNNE_000_1<tab>Du scheust also keine weiten Reisen? Wunderbar!","","False","0x00000030","",""
"","TEXT_SUBFST103_00678_MIOUNNE_000_2<tab>As I mentioned earlier, the request comes to us from the Adventurers' Guild in Ul'dah. Once you arrive, seek out Momodi, the proprietress of the Quicksand. Think of her as the sultanate's version of myself.","TEXT_SUBFST103_00678_MIOUNNE_000_2<tab>Wie bereits erwähnt, hat uns die Aben<var 16 /var>teurer<var 16 /var>gilde in Ul'dah um Unterstützung gebeten. Wenn du der Bitte nachkommen möchtest, dann reise in die Wüstenstadt und melde dich dort im Treibsand bei Momodi.","","False","0x00000031","",""
"","TEXT_SUBFST103_00678_MIOUNNE_000_3<tab>Chances are she'll send you into the midst of danger, but I have every confidence that you will pull through unscathed. Now, off you go, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, and good luck!","TEXT_SUBFST103_00678_MIOUNNE_000_3<tab>Ich vermute, dass es diesmal um eine äußerst heikle Angelegenheit geht, aber bei dir habe ich keine Bedenken, dass du jede Gefahr meistern wirst. Also, gute Reise und viel Erfolg!","","False","0x00000032","",""
"","TEXT_SUBFST103_00678_MOMODI_000_10<tab>Welcome to the Quicksand, friend. I'm a tad busy right now, if you wouldn't mind showin' yourself to─","TEXT_SUBFST103_00678_MOMODI_000_10<tab>Willkommen im Treibsand. Ich bin gerade beschäftigt, aber man wird sich gleich um dich ...","","False","0x00000033","",""
"","TEXT_SUBFST103_00678_MOMODI_000_11<tab>Oh, it's you, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>! And there I was, spoutin' the same tired line!","TEXT_SUBFST103_00678_MOMODI_000_11<tab>Ach, du bist es, <var 29 EB02 /var>! Verzeih mir meine Unaufmerksamkeit!","","False","0x00000034","",""
"","TEXT_SUBFST103_00678_MOMODI_000_12<tab>Judgin' by your determined expression, I take it you ain't here for ale. Are you called <var 29 EB02 /var>, by any chance?","TEXT_SUBFST103_00678_MOMODI_000_12<tab>Moment, bist du vielleicht <var 29 EB02 /var>? Dann habe ich natürlich Zeit für dich.","","False","0x00000035","",""
"","TEXT_SUBFST103_00678_MOMODI_000_13<tab>Miounne sent word that you'd be reportin' for duty. She also made a point of callin' you the adventurer of the moment. That ain't no small praise, comin' from her.","TEXT_SUBFST103_00678_MOMODI_000_13<tab>Miounne hat dich bereits angekündigt und nur lobende Worte über dich verloren. Sie schien wirklich aufgeregt zu sein, als sie von dir sprach.","","False","0x00000036","",""
"","TEXT_SUBFST103_00678_MOMODI_000_14<tab>But you didn't come all the way here to listen to my prattle. Doubtless you're eager to get started, so let's talk business, shall we?","TEXT_SUBFST103_00678_MOMODI_000_14<tab>Aber genug gefaselt. Du willst vermutlich wissen, wo uns der Schuh drückt, oder? Von mir aus kann's sofort losgehen. Sag Bescheid, wenn du so weit bist.","","False","0x00000037","",""
