"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","<tab>","<tab>","","False","0x00000000","",""
"","Yours is a great strength to be measured against, but I daresay I am drawing closer by the day. Would you not agree?<tab>Yours is a great strength to be judged against, but I do believe I'm improving. Would you not agree?","どうだ、俺の力は……！<br>またひとつ、主に近づけただろうか。<tab>私の力は、どうですか？<br>またひとつ、主に近づけたでしょうか。","","False","0x00000001","",""
"","Leave your next foe to me, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. They will make good sport for my training!<tab>Leave your next foe to me, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>. I could use a good challenge for my training!","次の試練も俺に任せておけ！<br>さぁ、行くぞ！<tab>次の試練も私にお任せください。<br>さぁ、行きましょう！","","False","0x00000002","",""
"","These trials seem unending─a true test of my will. I was not expecting such hardship.<tab>These trials are unrelenting─a true test of my resolve. I was not expecting such hardship.","主との試練の旅は、苦難の連続だ……。<br>そうか……俺の決意が試されてるのか……。<tab>主との試練の旅は、苦難の連続です……。<br>私の決意が試されているのですね……。","","False","0x00000003","",""
"","My will would have broken long ago without you at my side. But together, I feel we can stand against any foe!<tab>My resolve would surely have broken long ago were you not at my side. But together, I feel no challenge is too great!","なかなか、骨が折れる試練だ……。<br>しかし、主の隣で戦えるのならば、<br>この程度、どうってことない……！<tab>なかなか、骨が折れる試練です。<br>しかし、主の隣で戦えるのならば、<br>この程度、どうってことありません……！","","False","0x00000004","",""
"","What is that look, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? Do you fear for my well-being? Worry not! Our battles together have only just begun.<tab>What is that gaze, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>? Do you fear for my safety? You needn't worry so. Our battles together are far from over!","主、そんな真剣に俺のことを見て……何かあったか？<br>疲れているのかと気遣ってくれたならば、心配はない。<br>まだまだ、俺は戦えるぞ！<tab>主、そんな真剣に私のことを見てどうしました？<br>疲れているのかと気遣ってくださったのなら、心配なさらず。<br>まだまだ、私は戦えます！","","False","0x00000005","",""
"","Are you certain this will work? What if I... No, I mustn't think such foolish things. Come, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, let us seek new foes!<tab>Are you sure this will work? What if I... No, I mustn't doubt myself. Not now. Come, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, let us seek a new challenge!","本当に、これで新たな力が手に入るのだろうか……。<br>……いや、弱音なんて吐いてはいけないな。<br>主……行こう！<tab>本当に、これで新たな力が手に入るのでしょうか……。<br>……いいえ、弱音なんて吐いてはいけませんね！<br>主……行きましょう！","","False","0x00000006","",""
"","Absorbing aether is so much easier now. I feel myself growing stronger with every battle!<tab>Absorbing aether is so much easier now. With every triumph I feel my power increasing!","見てみろ、主！<br>なんだか、以前より力が扱いやすくなっている！<br>試練を乗り越えた頃には、俺はもっと強くなっているぞ！<tab>見てください、主！<br>なんだか、以前より力が扱いやすくなっています！<br>試練を乗り越えた頃には、私はもっと強くなっているでしょう！","","False","0x00000007","",""
"","Am I living up to your expectations? I realize there is much I might yet do to prove myself to you.<tab>I do hope I am meeting your expectations. Though I realize there is much I must yet do to prove myself to you.","どうだ、主……期待に応えられるものになっているか？<br>主にたくさん使ってもらうため、<br>まだまだ、頑張るぞ。<tab>主の期待に応えられるものになっていますか？<br>あなたにたくさん使ってもらうため、<br>まだまだ、頑張ります！","","False","0x00000008","",""
"","The strength you have bestowed upon me is changing somehow... It feels more...focused.<tab>The strength you have lent me is changing somehow... It feels more...focused.","いままで、主が与えてくれた力が、<br>ひとつに集まってきているのか……？<tab>いままで、主が与えてくれた力が、<br>ひとつに集まっている気がします……。","","False","0x00000009","",""
"","Just a bit more... Yes, I sense that great power is nearly within reach.<tab>Just a little more... Yes, I sense that great power is nearly within my grasp.","あと少しで、力を自分のものにできるような気がするんだ。<tab>あと少しで、力を自分のものにできるような気がします。","","False","0x0000000A","",""
"","This power is unlike anything I've experienced before. So intense, so focused. I... I think I'm ready, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>.<tab>This power is unlike anything I've experienced before. So intense, so focused. I... I think I'm ready, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>.","溢れそうになっていた力がひとつになった気がする……。<br>これが、試練の成果だというのか……！<tab>溢れそうになっていた力がひとつになった気がします。<br>これが、試練の成果……なのですね！","","False","0x0000000B","",""
