"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_000<tab>Greetings to you, traveler! Is there something I can help you with?","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_000<tab>Salut, voyage<var 08 E905 ((use)) ((ur)) /var><var 1D /var>! Je peux t'aider, oui<var 1D /var>?","","False","0x00000000","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_010<tab>These are dark days... Which is a good thing! Well, dark at night anyway.","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_010<tab>C'est bizarre, la nuit, bizarre oui... Bref, qu'est-ce que je peux faire pour toi, voyage<var 08 E905 ((use)) ((ur)) /var><var 1D /var>?","","False","0x00000001","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_020<tab>No more nights? Why not? Did we run out of darkness? Oh, I am sorry to ask you so many questions, when you clearly have no idea how to answer them. Or perhaps you have a question for me?","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_020<tab>Hum... La Lumière est revenue, oui. C'est une scène dont j'ai l'habitude, mais je n'aime pas ça, non je n'aime pas ça... Bref, qu'est-ce que je peux faire pour toi, voyage<var 08 E905 ((use)) ((ur)) /var><var 1D /var>?","","False","0x00000002","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_030<tab>The night has returned! And if the day could disappear altogether, I will be even happier!","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_030<tab>La Lumière a de nouveau disparu, oui<var 1D /var>! Je suis très content, très content, oui<var 1D /var>! Bon, qu'est-ce que je peux faire pour toi, voyage<var 08 E905 ((use)) ((ur)) /var><var 1D /var>?","","False","0x00000003","",""
"","TEXT_REGNOR4MORDSOUQ_00595_Q1_000_000<tab>What will you ask?","TEXT_REGNOR4MORDSOUQ_00595_Q1_000_000<tab>Sur quoi vous renseignez-vous<var 1D /var>?","","False","0x00000004","",""
"","TEXT_REGNOR4MORDSOUQ_00595_A1_000_001<tab>What do you do here?","TEXT_REGNOR4MORDSOUQ_00595_A1_000_001<tab>Votre interlocuteur","","False","0x00000005","",""
"","TEXT_REGNOR4MORDSOUQ_00595_A1_000_002<tab>What kind of place is this?","TEXT_REGNOR4MORDSOUQ_00595_A1_000_002<tab>Cet endroit","","False","0x00000006","",""
"","TEXT_REGNOR4MORDSOUQ_00595_A1_000_003<tab>Nothing.","TEXT_REGNOR4MORDSOUQ_00595_A1_000_003<tab>Rien en particulier","","False","0x00000007","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_100<tab>I am a scavenger! It might sound like we skulk around picking at dead animals─and sometimes we do, to be fair─but our job is to find lost shinies! Your kind call them “relics,” I believe.","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_100<tab>Je suis un des chasseurs de trésors de Mord Souq, je fouille la région pour récupérer des reliques et je les revends aux marchands, des reliques, oui.","","False","0x00000008","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_101<tab>We take great pride in our work! Historians want to learn about the past, and we help them! For a price, of course.","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_101<tab>Il y aura toujours des acheteurs pour ce genre de choses, toujours, oui<var 1D /var>! C'est un travail important d'être chasseur de trésors, oui<var 1D /var>!","","False","0x00000009","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_200<tab>All sorts of people come to Mord Souq! Travelers crossing the desert, historians searching for shinies, traders...trading.","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_200<tab>C'est Mord Souq, où rien ne se perd et tout se revend, oui oui<var 1D /var>!","","False","0x0000000A","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_201<tab>But there is one thing they have in common. Jinglies to spend!","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_201<tab>On fait le commerce de plein d'objets ici, oui<var 1D /var>! Y a bien sûr du minerai provenant d'Amh Araeng, mais aussi d'autres mar<var 16 /var>chan<var 16 /var>di<var 16 /var>ses plus rares, rares, oui<var 1D /var>!","","False","0x0000000B","",""
"","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_202<tab>Of course, if it were not for us scavengers, there would be little to attract such customers. Digging up ancient shinies is our specialty, and if you are looking for something in particular, we can find it for you!","TEXT_REGNOR4MORDSOUQ_00595_GHELGEL_000_202<tab>Si jamais tu as besoin de quelque chose, fais le tour des marchands du coin, il y en aura forcément un qui aura ce que tu cherches, forcément, oui<var 1D /var>!","","False","0x0000000C","",""
"","TEXT_REGNOR4MORDSOUQ_00595_TALK_ACTOR<tab>","TEXT_REGNOR4MORDSOUQ_00595_TALK_ACTOR<tab>（★未使用／削除予定★）","","False","0x0000000D","",""
