"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKBA351_03278_SEQ_00<tab>Lue-Reeq wishes to confront an uncomfortable truth.","TEXT_LUCKBA351_03278_SEQ_00<tab>Lue-Reeq a une confession à vous faire.","","False","0x00000000","",""
"","TEXT_LUCKBA351_03278_SEQ_01<tab>Lue-Reeq is well aware that his martial prowess pales in comparison to yours, and that he is far more likely to hinder any effort to slay Andreia than to aid it. Now that the Virtue travels in the company of several eaters, a clever strategy is more important than ever, and to that end, the bounty hunter proposes the manufacture of a device that can generate a loud enough noise, as it was such a noise that rendered Renda-Rae powerless when she first faced Balam<var 1F /var>Quitz. Before you can depart for the Crystalline Mean to seek an artisan's assistance, however, a servant of Lue-Reeq's lord father appears and demands that he renounce his chosen career and return to Eulmore at once, else he will be disowned. After a moment's hesitation, the young hunter marshals his courage and declares that the only family he acknowledges is Miss Olvara, his wet nurse. The die is cast, and you may now concentrate on the task at hand.","TEXT_LUCKBA351_03278_SEQ_01<tab>Grâce à Olvara, Lue-Reeq a eu l'idée d'un stratagème qui pourrait vous donner un avantage certain face à Andreia. Rendez-vous à la halle du Juste et parlez à Loythe pour concrétiser le plan de Lue-Reeq.","","False","0x00000001","",""
"","TEXT_LUCKBA351_03278_SEQ_02<tab>Loythe of the Crystalline Mean is amused by your request for a noisemaking device, but is more than willing to design and craft it─provided you and Lue-Reeq can procure the necessary materials. Said materials will require one to travel to the far corners of Norvrandt and back, and so you steel yourself for another long journey, only for Lue-Reeq to declare that he has imposed upon you too much. You are to wait in the Crystarium while he alone fetches the various materials.","TEXT_LUCKBA351_03278_SEQ_02<tab>Loythe vous a donné une liste de matériaux à réunir. Lue-Reeq vous a assuré qu'il n'aurait aucun mal à s'en charger lui-même, et il vous a demandé de l'attendre à la taverne des Marches nébuleuses.","","False","0x00000002","",""
"","TEXT_LUCKBA351_03278_SEQ_03<tab>When you are rejoined by Lue-Reeq, you are surprised not only to learn that he managed to procure every item requested, but worked closely with Loythe to learn how to craft his secret weapon by himself. The noisemaker arrows, as he calls them, should serve to incapacitate Andreia in the heat of battle. With these final preparations complete, you depart for Rak'tika once more.","TEXT_LUCKBA351_03278_SEQ_03<tab>Lue-Reeq est revenu vous trouver, en possession de “flèches soniques” qui devraient permettre d'étourdir Andreia. Le moment d'affronter le purgateur est arrivé... Rendez-vous aux marécages du Citia, dans la forêt de Rak'tika, et parlez à Lue-Reeq.","","False","0x00000003","",""
"","TEXT_LUCKBA351_03278_SEQ_04<tab>Though you have known many a harrowing battle, the fight against Andreia and her party of eaters proves to be one of your greatest challenges yet. Fortunately, Lue-Reeq's noisemaker arrows serve to turn the tide, and after defeating each of her comrades in turn, the Virtue soon falls.","TEXT_LUCKBA351_03278_SEQ_04<tab>Grâce à votre parfaite coordination avec Lue-Reeq, vous avez réussi à terrasser Andreia après un combat aux multiples re<var 16 /var>bon<var 16 /var>dis<var 16 /var>se<var 16 /var>ments. Il est temps d'avoir une pensée pour Renda-Rae, dans la forêt de Rak'tika.","","False","0x00000004","",""
"","TEXT_LUCKBA351_03278_SEQ_05<tab>As the essence of Andreia begins to dissipate, you glimpse the last vestiges of Renda-Rae, the fallen Warrior of Light. She speaks of guilt and of love for her comrades, of the fear that gripped her heart and the courage that blossomed from it. Of a last, desperate attempt to save all she and her friends held dear, knowing what it would cost, knowing that it would surely fail...for it could be no other way. The shade's parting words leave Lue-Reeq confused, and so you explain to him how the Warriors of Light stood valiantly against the Flood of Light and sacrificed their lives to halt its advance. For his ignorance, the hunter is ashamed, though he hopes in helping lay Renda-Rae's soul to rest he has earned a modicum of forgiveness.","TEXT_LUCKBA351_03278_SEQ_05<tab>Vous avez assisté à une apparition de Renda-Rae, qui s'est confiée à vous avant de disparaître... Pour de bon<var 1D /var>? Pressé d'annoncer la nouvelle à Olvara, Lue-Reeq s'est hâté vers Le Vestibule. Allez le rejoindre et adressez-vous à la vieille nourrice.","","False","0x00000005","",""
"","TEXT_LUCKBA351_03278_SEQ_06<tab>Olvara is proud and relieved to see you and Lue-Reeq return, and as one hunter to another she thanks you for saving her hero's soul. She promises to preserve the truth of her tale so that future generations will know the whole of her story─of Renda-Rae, the greatest hunter who ever lived, and a true friend. Having said your good-byes, all that remains is to return to the Crystarium to claim the bounty and celebrate your victory.","TEXT_LUCKBA351_03278_SEQ_06<tab>Olvara vous a félicités pour votre victoire sur Andreia, et vous a remerciés d'avoir permis à l'âme de Renda-Rae de trouver le repos. Maintenant, il faut fêter ça<var 1D /var>! Rendez-vous aux Marches nébuleuses et parlez à Lue-Reeq pour trinquer à votre succès.","","False","0x00000006","",""
"","TEXT_LUCKBA351_03278_SEQ_07<tab>Over a final feast, Lue-Reeq presses you to reveal the whole story of how you know so much about the Warriors of Light, and so you tell him of how you faced them in the Source, as the Warriors of Darkness, and the terrible sacrifice they had to make to even have the chance to save the First. This revelation only serves to reinforce the conclusion Lue-Reeq has already reached: that he does not have what it takes to walk the same path as you, much as he has enjoyed your time together. But there is no shame in it, for he has also realized how important Miss Olvara is to him, and so he would instead return to Kholusia and repay her for the kindness she showed him in his youth by caring for her in her old age. Thus ends the glorious partnership that was Reeq and <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>─for now, at least, for who can say what the future holds?","TEXT_LUCKBA351_03278_SEQ_07<tab>Vous avez raconté vos visions de Renda-Rae et des Guerriers de la Lumière à Lue-Reeq, ainsi que vos récentes aventures dans le premier reflet. Impressionné par vos prouesses, il s'est résolu à abandonner son idée de vous suivre dans vos pérégrinations pour relever un défi à sa portée<var 1D /var>: s'occuper d'Olvara. N'hésitez pas à rendre visite à Lue-Reeq au Vestibule, et qui sait, peut-être reformer votre duo de légende un jour<var 1D /var>!","","False","0x00000007","",""
"","TEXT_LUCKBA351_03278_SEQ_08<tab>","TEXT_LUCKBA351_03278_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKBA351_03278_SEQ_09<tab>","TEXT_LUCKBA351_03278_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKBA351_03278_SEQ_10<tab>","TEXT_LUCKBA351_03278_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKBA351_03278_SEQ_11<tab>","TEXT_LUCKBA351_03278_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKBA351_03278_SEQ_12<tab>","TEXT_LUCKBA351_03278_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKBA351_03278_SEQ_13<tab>","TEXT_LUCKBA351_03278_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKBA351_03278_SEQ_14<tab>","TEXT_LUCKBA351_03278_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKBA351_03278_SEQ_15<tab>","TEXT_LUCKBA351_03278_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKBA351_03278_SEQ_16<tab>","TEXT_LUCKBA351_03278_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKBA351_03278_SEQ_17<tab>","TEXT_LUCKBA351_03278_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKBA351_03278_SEQ_18<tab>","TEXT_LUCKBA351_03278_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKBA351_03278_SEQ_19<tab>","TEXT_LUCKBA351_03278_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_LUCKBA351_03278_SEQ_20<tab>","TEXT_LUCKBA351_03278_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_LUCKBA351_03278_SEQ_21<tab>","TEXT_LUCKBA351_03278_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_LUCKBA351_03278_SEQ_22<tab>","TEXT_LUCKBA351_03278_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_LUCKBA351_03278_SEQ_23<tab>","TEXT_LUCKBA351_03278_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_LUCKBA351_03278_TODO_00<tab>Speak with Loythe in the Crystarium.","TEXT_LUCKBA351_03278_TODO_00<tab>Parler à Loythe, à la halle du Juste","","False","0x00000018","",""
"","TEXT_LUCKBA351_03278_TODO_01<tab>Wait for Lue-Reeq to return.","TEXT_LUCKBA351_03278_TODO_01<tab>Attendre à l'endroit indiqué","","False","0x00000019","",""
"","TEXT_LUCKBA351_03278_TODO_02<tab>Accompany Lue-Reeq to Rak'tika.","TEXT_LUCKBA351_03278_TODO_02<tab>Parler à Lue-Reeq, aux marécages du Citia","","False","0x0000001A","",""
"","TEXT_LUCKBA351_03278_TODO_03<tab>Speak with Lue-Reeq in Rak'tika.","TEXT_LUCKBA351_03278_TODO_03<tab>Parler à Lue-Reeq, aux marécages du Citia","","False","0x0000001B","",""
"","TEXT_LUCKBA351_03278_TODO_04<tab>Accompany Lue-Reeq to Kholusia.","TEXT_LUCKBA351_03278_TODO_04<tab>Parler à Olvara, au Vestibule","","False","0x0000001C","",""
"","TEXT_LUCKBA351_03278_TODO_05<tab>Speak with Lue-Reeq in the Crystarium.","TEXT_LUCKBA351_03278_TODO_05<tab>Parler à Lue-Reeq, aux Marches nébuleuses","","False","0x0000001D","",""
"","TEXT_LUCKBA351_03278_TODO_06<tab>","TEXT_LUCKBA351_03278_TODO_06<tab>","","False","0x0000001E","",""
