"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_NONE<tab>There is nothing in this bed.","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_NONE<tab>Die Furche liegt brach.","","False","0x00000000","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_END_EVENT<tab>Quit","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_END_EVENT<tab>Abbrechen","","False","0x00000001","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_SET_SEED<tab>Plant Seeds","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_SET_SEED<tab>Aussäen","","False","0x00000002","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_SET_FERTILIZER<tab>Fertilize Crop","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_SET_FERTILIZER<tab>Düngen","","False","0x00000003","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_CARE<tab>Tend Crop","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_CARE<tab>Pflegen","","False","0x00000004","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_DISPOSE<tab>Remove Crop","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_DISPOSE<tab>Pflanze vernichten","","False","0x00000005","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_HARVEST<tab>Harvest Crop","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_HARVEST<tab>Ernten","","False","0x00000006","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_DEAD<tab><var 28 ((Item)) E8020A /var><br>This crop is beyond hope.","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_DEAD<tab>Die Pflanze ist leider verwelkt<var 1D /var>... (<var 2B ((<var 28 ((Item)) E8020A /var>)) /var>)","","False","0x00000007","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_VIGOROUS<tab><var 28 ((Item)) E8020A /var><br>This crop is doing well.","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_VIGOROUS<tab>Die Pflanze gedeiht prächtig. (<var 2B ((<var 28 ((Item)) E8020A /var>)) /var>)","","False","0x00000008","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_DEPRESSED<tab><var 28 ((Item)) E8020A /var><br>This crop has seen better days...","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_DEPRESSED<tab>Die Pflanze sieht etwas angeschlagen aus. (<var 2B ((<var 28 ((Item)) E8020A /var>)) /var>)","","False","0x00000009","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_RIPE<tab><var 28 ((Item)) E8020A /var><br>This crop is ready to be harvested.","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_TALK_RIPE<tab>Die Pflanze ist reif zur Ernte! (<var 2B ((<var 28 ((Item)) E8020A /var>)) /var>)","","False","0x0000000A","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE<tab>Are you certain you wish to remove this crop?","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE<tab>Die Pflanze wirklich vernichten?","","False","0x0000000B","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE_YES<tab>Yes","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE_YES<tab>Ja","","False","0x0000000C","",""
"","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE_NO<tab>No","TEXT_CMNDEFHOUSINGGARDENINGPLANT_00151_ASK_DISPOSE_NO<tab>Nein","","False","0x0000000D","",""
