"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_GREETING_00000<tab>Greetings, <var 08 E905 ((madam)) ((sir)) /var>. If you have any <var 31 ((Item)) 04E8020302 /var> or <var 31 ((Item)) 04E8030302 /var>, I should be glad to offer you <var 31 ((Item)) 04E8040302 /var> and <var 31 ((Item)) 04E8050302 /var> respectively in exchange.","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_GREETING_00000<tab><var 08 E3E90C0D ((<var 08 E3E90C05 ((Bonsoir)) ((Bonjour)) /var>)) ((<var 08 E3E90C12 ((Bonjour)) ((Bonsoir)) /var>)) /var> aventuri<var 08 E905 ((ère)) ((er)) /var><var 1D /var>! Je peux échanger vos <var 33 ((Item)) 0DE8020302 /var> et <var 33 ((Item)) 0DE8030302 /var> contre des <var 33 ((Item)) 0DE8040302 /var> ou des <var 33 ((Item)) 0DE8050302 /var>, si vous voulez.","","False","0x00000000","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_Q000<tab>Select the scrip you wish to exchange.","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_Q000<tab>Quel type d'assignats voulez-vous échanger<var 1D /var>?","","False","0x00000001","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A001<tab><var 2D ((<var 31 ((Item)) 04E8020302 /var>)) /var>.","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A001<tab><var 2B ((<var 33 ((Item)) 0DE8020302 /var>)) /var>","","False","0x00000002","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A002<tab><var 2D ((<var 31 ((Item)) 04E8020302 /var>)) /var>.","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A002<tab><var 2B ((<var 33 ((Item)) 0DE8020302 /var>)) /var>","","False","0x00000003","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A003<tab>Cancel.","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_SCRIP_A003<tab>Annuler","","False","0x00000004","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_EXCHANGE_Q000<tab>Exchange <var 08 E4E80302 ((<var 20 E803 /var> <var 31 ((Item)) 04E8020202 /var>)) ((<var 20 E803 /var> <var 31 ((Item)) 04E802E80302 /var>)) /var> for <var 08 E4E80502 ((<var 20 E805 /var> <var 31 ((Item)) 04E8040202 /var>)) ((<var 20 E805 /var> <var 31 ((Item)) 04E804E80502 /var>)) /var>?","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_EXCHANGE_Q000<tab>Échanger <var 20 E803 /var> <var 33 ((Item)) 0DE802 ((<var 20 E803 /var>)) 02 /var> contre <var 20 E805 /var> <var 33 ((Item)) 0DE804 ((<var 20 E805 /var>)) 02 /var><var 1D /var>?","","False","0x00000005","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_LIMIT_Q000<tab>Warning: You will not be able to receive all <var 31 ((Item)) 03E8020302 /var>. Do you still wish to proceed?","TEXT_CMNDEFSCRIPCONVERT_00390_ASK_LIMIT_Q000<tab><var 48 F201FC /var><var 49 F201FD /var>Attention<var 1D /var>: tous les <var 33 FF054974656D0DE8020302 /var> au-delà de la limite ne pourront pas être obtenu<var 08 ((<var 28 ((Item)) E80207 /var>)) ((e)) (()) /var>s.<var 49 01 /var><var 48 01 /var><br><br>Confirmer l'échange<var 1D /var>?","","False","0x00000006","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_SYSTEM_EXCHANGE_00000<tab>Exchange complete.","TEXT_CMNDEFSCRIPCONVERT_00390_SYSTEM_EXCHANGE_00000<tab>Vous avez obtenu <var 20 E805 /var> <var 33 ((Item)) 0DE804 ((<var 20 E805 /var>)) 02 /var> en échange de <var 20 E803 /var> <var 33 ((Item)) 0DE802 ((<var 20 E803 /var>)) 02 /var>.","","False","0x00000007","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_NOTOBTAINABLE_00000<tab>Oh? You don't appear to have any <var 31 ((Item)) 04E8020302 /var>...","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_NOTOBTAINABLE_00000<tab>Oh<var 1D /var>! Je crains que vous ne soyez pas en possession <var 33 ((Item)) 09E8020302 /var>...","","False","0x00000008","",""
"","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_MAXIMUM_00000<tab>Oh? It seems you already possess the maximum number of <var 31 ((Item)) 04E8020302 /var> permitted...","TEXT_CMNDEFSCRIPCONVERT_00390_TALK_MAXIMUM_00000<tab>Ch<var 08 E905 ((ère)) ((er)) /var> client<var 08 E905 ((e)) (()) /var>, je suis au regret de vous dire que vous ne pouvez pas détenir davantage <var 33 ((Item)) 09E8020302 /var>...","","False","0x00000009","",""
