"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CLSTAN700_02615_SEQ_00<tab>Atelloune is not yet ready to abandon her work.","TEXT_CLSTAN700_02615_SEQ_00<tab>Atelloune is not yet ready to abandon her work.","","False","0x00000000","",""
"","TEXT_CLSTAN700_02615_SEQ_01<tab>Despite her many connections as an established naturalist in Gridania, Atelloune could not find hide nor hair of the dhalmel mount. She has prepared for this undesirable outcome, however, by selecting another specimen for mounting─the majestic three-feathered gagana. To that end, she bids you and Enion make for Gyr Abania to locate this gargantuan bird of prey.","TEXT_CLSTAN700_02615_SEQ_01<tab>Despite her many connections as an established naturalist in Gridania, Atelloune could not find hide nor hair of the dhalmel mount. She has prepared for this undesirable outcome, however, by selecting another specimen for mounting─the majestic three-feathered gagana. To that end, she bids you and Enion make for Gyr Abania to locate this gargantuan bird of prey.","","False","0x00000001","",""
"","TEXT_CLSTAN700_02615_SEQ_02<tab>Enion has only ill-tidings to share when you arrive at Castrum Oriens. It would seem the three-feathered gagana has not been sighted in the Fringes in quite some time. Some believe it may already be extinct. Just as all hope seemed to be lost, Enion has a stroke of genius. He suggests using the pelt of the more common variety of gagana to reproduce the visage of the three-feathered one. Before returning to Gridania, however, he insists on observing them briefly to ensure his mannequin properly conveys their likeness.","TEXT_CLSTAN700_02615_SEQ_02<tab>Enion has only ill-tidings to share when you arrive at Castrum Oriens. It would seem the three-feathered gagana has not been sighted in the Fringes in quite some time. Some believe it may already be extinct. Just as all hope seemed to be lost, Enion has a stroke of genius. He suggests using the pelt of the more common variety of gagana to reproduce the visage of the three-feathered one. Before returning to Gridania, however, he insists on observing them briefly to ensure his mannequin properly conveys their likeness.","","False","0x00000002","",""
"","TEXT_CLSTAN700_02615_SEQ_03<tab>Captivated by their form and beauty, Enion asks you wait for him a while longer. He then takes his leave to continue observing the gaganas.","TEXT_CLSTAN700_02615_SEQ_03<tab>Captivated by their form and beauty, Enion asks you wait for him a while longer. He then takes his leave to continue observing the gaganas.","","False","0x00000003","",""
"","TEXT_CLSTAN700_02615_SEQ_04<tab>Enion is at last ready to return home, but not before confessing to you his uncertainty in creating a new mount. Your words of encouragement quickly replace his doubt with a newfound resolve to improve his skills as a taxidermist. In his excitement, he runs off to tell Atelloune of your plans for the gagana mount.","TEXT_CLSTAN700_02615_SEQ_04<tab>Enion is at last ready to return home, but not before confessing to you his uncertainty in creating a new mount. Your words of encouragement quickly replace his doubt with a newfound resolve to improve his skills as a taxidermist. In his excitement, he runs off to tell Atelloune of your plans for the gagana mount.","","False","0x00000004","",""
"","TEXT_CLSTAN700_02615_SEQ_05<tab>You return to find Atelloune has been apprised of the situation and has ordered a gagana pelt from the Leatherworkers' Guild. As she hands it to you, she reminds you of the importance of this mount. It is likely to be your final task as her assistant, and she insists this mount be the pinnacle of perfection. You roll up your sleeves and set to work on your masterwork to dress Enion's mannequin.<br><br>※In the event you lose the ingredients or the synthesis ends in failure, you may try again by speaking with Atelloune.","TEXT_CLSTAN700_02615_SEQ_05<tab>You return to find Atelloune has been apprised of the situation and has ordered a gagana pelt from the Leatherworkers' Guild. As she hands it to you, she reminds you of the importance of this mount. It is likely to be your final task as her assistant, and she insists this mount be the pinnacle of perfection. You roll up your sleeves and set to work on your masterwork to dress Enion's mannequin.<br><br>※In the event you lose the ingredients or the synthesis ends in failure, you may try again by speaking with Atelloune.","","False","0x00000005","",""
"","TEXT_CLSTAN700_02615_SEQ_06<tab>The people of Gridania have gathered at Mih Khetto's Amphitheatre, all eyes fixed on the dhalmel jacket and gagana mount at center stage. It is not long before Atelloune's intended audience, Marmaduke, makes his presence known. He demands the exhibition be suspended forthwith, but Atelloune chooses to ignore his order. She instead goes on to explain how changes in the environment have endangered myriad animal species, and how people should make a better effort to protect them. Touched by her words, Marmaduke bids her continue, and teach the people of Gridania the value of the lives they would otherwise take for granted. The exhibition ends a resounding success, Atelloune completing her work with animal mounts, and Enion finding himself the newest recruit of the Leatherworkers' Guild. Atelloune means to spread learning and enlightenment to all corners of the realm, and she hopes the two of you might cross paths again someday.","TEXT_CLSTAN700_02615_SEQ_06<tab>The people of Gridania have gathered at Mih Khetto's Amphitheatre, all eyes fixed on the dhalmel jacket and gagana mount at center stage. It is not long before Atelloune's intended audience, Marmaduke, makes his presence known. He demands the exhibition be suspended forthwith, but Atelloune chooses to ignore his order. She instead goes on to explain how changes in the environment have endangered myriad animal species, and how people should make a better effort to protect them. Touched by her words, Marmaduke bids her continue, and teach the people of Gridania the value of the lives they would otherwise take for granted. The exhibition ends a resounding success, Atelloune completing her work with animal mounts, and Enion finding himself the newest recruit of the Leatherworkers' Guild. Atelloune means to spread learning and enlightenment to all corners of the realm, and she hopes the two of you might cross paths again someday.","","False","0x00000006","",""
"","TEXT_CLSTAN700_02615_SEQ_07<tab>deleted","TEXT_CLSTAN700_02615_SEQ_07<tab>deleted","","False","0x00000007","",""
"","TEXT_CLSTAN700_02615_SEQ_08<tab>","TEXT_CLSTAN700_02615_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_CLSTAN700_02615_SEQ_09<tab>","TEXT_CLSTAN700_02615_SEQ_09<tab>","","False","0x00000009","",""
