"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGSEAPVPGARO_00384_Q1_000_000<tab>What will you do?","TEXT_REGSEAPVPGARO_00384_Q1_000_000<tab>Que voulez-vous faire<var 1D /var>?","","False","0x00000000","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_001<tab>Exchange Wolf Marks. (Melee) I","TEXT_REGSEAPVPGARO_00384_A1_000_001<tab>Échanger des marques de loup (mêlée 1)","","False","0x00000001","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_002<tab>Exchange Wolf Marks. (Melee) II","TEXT_REGSEAPVPGARO_00384_A1_000_002<tab>Échanger des marques de loup (mêlée 2)","","False","0x00000002","",""
"","TEXT_REGSEAPVPGARO_00384_A1_100_002<tab>Exchange Wolf Marks. (Ranged)","TEXT_REGSEAPVPGARO_00384_A1_100_002<tab>Échanger des marques de loup (distance)","","False","0x00000003","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_003<tab>Receive a new title.","TEXT_REGSEAPVPGARO_00384_A1_000_003<tab>Recevoir un titre","","False","0x00000004","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_004<tab>Ask about titles.","TEXT_REGSEAPVPGARO_00384_A1_000_004<tab>En savoir plus sur les conditions d'obtention des titres","","False","0x00000005","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_005<tab>Ask about the priest.","TEXT_REGSEAPVPGARO_00384_A1_000_005<tab>Parler","","False","0x00000006","",""
"","TEXT_REGSEAPVPGARO_00384_A1_000_006<tab>Nothing.","TEXT_REGSEAPVPGARO_00384_A1_000_006<tab>Annuler","","False","0x00000007","",""
"","TEXT_REGSEAPVPGARO_00384_HOUSHI_003_001<tab>Ah, so you wish to stand amongst the favored, do you? Hmmm. Well, let me take a look at you...","TEXT_REGSEAPVPGARO_00384_HOUSHI_003_001<tab>Oh<var 1D /var>? Tu te crois digne de porter un nouveau titre<var 1D /var>? Hmm... Soit, montre-moi ton arme et l'armure que tu endosses avant de répandre le sang de tes ennemis. Je jugerai si ton audace est vierge ou non de toute naïveté.","","False","0x00000008","",""
"","TEXT_REGSEAPVPGARO_00384_SYSTEM_003_002<tab>The disreputable priest will award you a new title if the combination of your job and currently equipped gear meets with her approval.","TEXT_REGSEAPVPGARO_00384_SYSTEM_003_002<tab>La prêtresse à la robe noire peut vous octroyer des titres spéciaux. Pour cela, équipez-vous de l'arme et des pièces d'armure (cases “tête”, “torse”, “mains”, “jambes” et “pieds”) liées à votre job qu'elle propose à l'échange. Ensuite, adressez-vous à elle et choisissez l'option “Recevoir un titre”.","","False","0x00000009","",""
"","TEXT_REGSEAPVPGARO_00384_HOUSHI_003_003<tab>What need have you of more titles? You are become the very embodiment of warrior spirit! The shining pinnacle of martial perfection! Go! Fall upon your foes like an avenging god!","TEXT_REGSEAPVPGARO_00384_HOUSHI_003_003<tab>Tu m'as prouvé être l'incarnation même du protecteur Makai<var 1D /var>! Montre-toi digne de tes prédécesseurs et défends les innocents comme ils l'ont fait avant toi. Pars sonner le glas de tes ennemis<var 1D /var>!","","False","0x0000000A","",""
