"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CMNFSTALPHALEVELUP_00018_EXPLANATION<tab>Althyk the Keeper, in His infinite wisdom, has blessed me with the ability to manipulate the hands of Time. If you wish it, I can pass that blessing unto you, so that you might attain the skills necessary to delve deeper into...a realm reborn.","TEXT_CMNFSTALPHALEVELUP_00018_EXPLANATION<tab>異邦の詩人に話しかけることで、<br>様々な機能を開放することができます。<br>この開放機能は、β版限定の機能です。","","False","0x00000000","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_Q<tab>Receive which blessing?","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_Q<tab>どうする？（β版限定の機能）","","False","0x00000001","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A1_GLADIATOR<tab>Learn the ways of the gladiator.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A1_GLADIATOR<tab>クラス「剣術士」へのクラスチェンジ機能","","False","0x00000002","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A2_RETAINER<tab>Obtain permission to hire a retainer.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A2_RETAINER<tab>リテイナーの雇用機能","","False","0x00000003","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A3_LEVEL_UP_TO_15<tab>Raise your level to 15.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A3_LEVEL_UP_TO_15<tab>レベル15へのレベルアップ","","False","0x00000004","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A4_LEVEL_UP_TO_29<tab>Raise your level to 29.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A4_LEVEL_UP_TO_29<tab>レベル29へのレベルアップ","","False","0x00000005","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A5_GRAND_COMPANY<tab>Enlist in a Grand Company.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A5_GRAND_COMPANY<tab>グランドカンパニーへの配属機能","","False","0x00000006","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A6_MY_CHOCOBO_BUDDY<tab>Prime your chocobo for battle.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A6_MY_CHOCOBO_BUDDY<tab>マイチョコボのバディ化","","False","0x00000007","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A7_MY_CHOCOBO_RENAME<tab>Rename your chocobo.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A7_MY_CHOCOBO_RENAME<tab>マイチョコボの名前変更","","False","0x00000008","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A8_LV30_ACTION_REWARD<tab>Acquire the ability awarded for completing the level 30 class quest.","TEXT_CMNFSTALPHALEVELUP_00018_MENU1_A8_LV30_ACTION_REWARD<tab>レベル30クラスクエストの報酬獲得","","False","0x00000009","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED<tab>To receive this blessing, you must first have proven your strength by completing the trial known as “<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>.”","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED<tab>この機能を開放するには、<br>クエスト｢<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>｣を<br>コンプリートする必要があります。","","False","0x0000000A","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED_2<tab>For the blessing to be complete, I must entrust you with a special token. However, it seems you are unable to bear any further burden...","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNQUALIFIED_2<tab>加えて、所持品に<br>1つ以上の空きがある必要があります。","","False","0x0000000B","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_ALREADY_UNLOCKED<tab>That blessing has already been granted. Take up a sword in your main hand to unleash the gladiator within you.","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_ALREADY_UNLOCKED<tab>この機能は、すでに開放されています。<br>片手剣を装備すると、<br>剣術士へクラスチェンジすることができます。","","False","0x0000000C","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNLOCK_SUCCESS<tab>You have now acquired the skill of swordfighting. Take up a sword in your main hand to unleash the gladiator within you.","TEXT_CMNFSTALPHALEVELUP_00018_GLADIATOR_UNLOCK_SUCCESS<tab>「剣術士」へのクラスチェンジ機能が開放されました。<br>片手剣を装備すると、<br>剣術士へクラスチェンジすることができます。","","False","0x0000000D","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_UNQUALIFIED<tab>To receive this blessing, you must first have proven your acumen by completing the trial known as “<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>.”","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_UNQUALIFIED<tab>この機能を開放するには、<br>クエスト｢<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>｣を<br>コンプリートする必要があります。","","False","0x0000000E","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_ALREADY_UNLOCKED<tab>That blessing has already been granted. To hire a retainer into your employ, journey back to Old Gridania and speak with Parnell in the Shaded Bower.","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_ALREADY_UNLOCKED<tab>この機能は、すでに開放されています。<br>「グリダニア：旧市街」の「木陰の東屋」にいる<br>「パーネル」に話しかけると、リテイナーを雇用できます。","","False","0x0000000F","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_UNLOCK_SUCCESS<tab>You have now been granted permission to hire a retainer. Journey back to Old Gridania and speak with Parnell in the Shaded Bower to do so.","TEXT_CMNFSTALPHALEVELUP_00018_RETAINER_UNLOCK_SUCCESS<tab>リテイナーの雇用機能が開放されました。<br>「グリダニア：旧市街」の「木陰の東屋」にいる<br>「パーネル」に話しかけると、リテイナーを雇用できます。","","False","0x00000010","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_UNQUALIFIED<tab>To receive this blessing, you must first have proven your loyalty by completing the trial known as “<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>.”","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_UNQUALIFIED<tab>この機能を開放するには、<br>クエスト｢<var 28 ((Quest)) E802 ((QUEST_NAME)) /var>｣を<br>コンプリートする必要があります。","","False","0x00000011","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_ALREADY_UNLOCKED<tab>That blessing has already been granted. To enlist in the Order of the Twin Adder, step into the Adders' Nest and speak with the serpent personnel officer.","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_ALREADY_UNLOCKED<tab>この機能は、すでに開放されています。<br>「グリダニア：新市街」の「双蛇党：統合司令部」にいる<br>「フルク大牙士」からグランドカンパニーに所属可能です。","","False","0x00000012","",""
"","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_UNLOCK_SUCCESS<tab>You may now enlist in Gridania's Grand Company, the Order of the Twin Adder. Step into the Adders' Nest and speak with Serpent Captain Fulke to make the necessary preparations.","TEXT_CMNFSTALPHALEVELUP_00018_GRAND_COMPANY_UNLOCK_SUCCESS<tab>グランドカンパニーへの配属機能が開放されました。<br>「グリダニア：新市街」の「双蛇党：統合司令部」にいる<br>「フルク大牙士」からグランドカンパニーに所属可能です。","","False","0x00000013","",""
