"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANLOP119_04705_SEQ_00<tab>Managingway is an ally to aspiring chefingways and believes you should be too.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANLOP119_04705_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var>
※本クエストは受注時のクラスでのみ進行します。

ホーパーズ・ホールドのマネージングウェイは、クッキングウェイのサポートをしてやりたいようだ。","","False","0x00000000","",""
"","TEXT_BANLOP119_04705_SEQ_01<tab>Speak with the flustered Loporrit in the Carrotorium.","TEXT_BANLOP119_04705_SEQ_01<tab>キャロットリウムのあくせくレポリットと話す","","False","0x00000001","",""
"","TEXT_BANLOP119_04705_SEQ_02<tab>Deliver the requested items to Managingway.","TEXT_BANLOP119_04705_SEQ_02<tab>マネージングウェイに依頼された品を納品","","False","0x00000002","",""
"","TEXT_BANLOP119_04705_SEQ_03<tab>","TEXT_BANLOP119_04705_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_BANLOP119_04705_SEQ_04<tab>","TEXT_BANLOP119_04705_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANLOP119_04705_SEQ_05<tab>","TEXT_BANLOP119_04705_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANLOP119_04705_SEQ_06<tab>","TEXT_BANLOP119_04705_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANLOP119_04705_SEQ_07<tab>","TEXT_BANLOP119_04705_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANLOP119_04705_SEQ_08<tab>","TEXT_BANLOP119_04705_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANLOP119_04705_SEQ_09<tab>","TEXT_BANLOP119_04705_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANLOP119_04705_SEQ_10<tab>","TEXT_BANLOP119_04705_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANLOP119_04705_SEQ_11<tab>","TEXT_BANLOP119_04705_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANLOP119_04705_SEQ_12<tab>","TEXT_BANLOP119_04705_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANLOP119_04705_SEQ_13<tab>","TEXT_BANLOP119_04705_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANLOP119_04705_SEQ_14<tab>","TEXT_BANLOP119_04705_SEQ_14<tab>","","False","0x0000000E","",""
