"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_000<tab>Does sentience stir now within your Zodiac Weapon? Then the time is nigh to end its dreaming!","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_000<tab>「ゾディアックウェポン」の「我」を完全に目覚めさせ、<br>覚醒へと導く時が来たか！","","False","0x00000000","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_001<tab>Upon waking, your Zodiac Weapon will truly be the finest arm and fiercest ally in all the realm. If you are firm in your purpose, let us begin!","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_001<tab>新たな「ゾディアックウェポン」は、かような力を持つであろう！<br>決意が揺らがぬようであれば、さっそく覚醒させるぞ！","","False","0x00000001","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_TITLE<tab>Select the Zodiac Weapon you wish to awaken.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_TITLE<tab>覚醒させる「ゾディアックウェポン」を選択してください","","False","0x00000002","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_CHOICES<tab>Awaken <var 08 E4E802F22513 ((<var 28 ((Item)) F225130A /var> and <var 28 ((Item)) F2251C0A /var>)) ((<var 28 ((Item)) E8020A /var>)) /var>?","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_CHOICES<tab><var 08 E4E802F22513 ((「<var 28 ((Item)) F2251301 /var>」と「<var 28 ((Item)) F2251C01 /var>」を覚醒)) ((「<var 28 ((Item)) E80201 /var>」を覚醒)) /var>","","False","0x00000003","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_CANCEL<tab>None.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_MENU_CANCEL<tab>キャンセル","","False","0x00000004","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_MESSAGE<tab>（★未使用／削除予定★）","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_MESSAGE<tab>（★未使用／削除予定★）","","False","0x00000005","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_YES<tab>（★未使用／削除予定★）","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_YES<tab>（★未使用／削除予定★）","","False","0x00000006","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_NO<tab>（★未使用／削除予定★）","TEXT_CMNDEFRELICWEAPON060TRADE_00250_YESNO_NO<tab>（★未使用／削除予定★）","","False","0x00000007","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_030<tab>Where is your Zodiac Weapon? We cannot awaken the sentience within unless it is in your possession.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_030<tab>ふむ、<var 08 E4E802F22513 ((「<var 28 ((Item)) F2251301 /var>」と、<br>「<var 28 ((Item)) F2251C01 /var>」)) ((「<var 28 ((Item)) E80201 /var>」)) /var>が見当たらぬようだ。<br>武器がなければ、覚醒させられぬぞ？","","False","0x00000008","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_031<tab>Please ensure that the Zodiac Weapon you wish to awaken is placed in your Armoury Chest or inventory before speaking with Jalzahn.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_031<tab>「ゾディアックウェポン」を覚醒させるには、<br>装備を外して「アーマリーチェスト」か「所持品」に収納し、<br>ジャルザーンに話しかける必要があります。","","False","0x00000009","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_040<tab>（★未使用／削除予定★）","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_040<tab>（★未使用／削除予定★）","","False","0x0000000A","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_050<tab>It would appear your Zodiac Weapon's soul resonance with the mahatma is still lacking, and the sentience inside yet slumbering.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_050<tab>ふむ、お主の「ゾディアックウェポン」は、<br>未だに「我」が目覚めてはおらぬようだな。<br>「マハトマ」との共鳴が足りていないということよ。","","False","0x0000000B","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_051<tab>You cannot awaken your Zodiac Weapon until after you have achieved full soul resonance with each of the twelve varieties of mahatma.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_051<tab>すべての「マハトマ」と完全に共鳴させなければ、<br>「ゾディアックウェポン」の覚醒はできません。","","False","0x0000000C","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_060<tab>We are seeking to make unique weapons beyond compare. Dream all you will, but even the greatest hero can own no more than one.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_000_060<tab>むう、この武器は特別な「ゾディアックウェポン」。<br>……ふたつを持つことは叶わぬぞ。","","False","0x0000000D","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_061<tab>You already possess <var 31 ((Item)) 03E8020202 /var>.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_SYSTEM_000_061<tab>すでに「<var 28 ((Item)) E80201 /var>」を所持しています。","","False","0x0000000E","",""
"","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_100_070<tab>I cannot well perform my work until you make room among your mess of possessions.","TEXT_CMNDEFRELICWEAPON060TRADE_00250_JALZAHN_100_070<tab>（★未使用／削除予定★）","","False","0x0000000F","",""
