"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_LUCKBA231_03270_SEQ_00<tab>Giott appears to be consuming ale with even greater voracity than usual.","TEXT_LUCKBA231_03270_SEQ_00<tab>Giott appears to be consuming ale with even greater voracity than usual.","","False","0x00000000","",""
"","TEXT_LUCKBA231_03270_SEQ_01<tab>Though a search through the Cabinet of Curiosity's resources for further information regarding Sophrosyne's magic has borne no fruit─through much fault of Giott's own, you gather─a new lead as to the Virtue's whereabouts did apparently present itself. Giott reasons that there's no reason not to pursue it, given the dearth of other options, so you agree to set out for the Rak'tika Greatwood in search of the eater.","TEXT_LUCKBA231_03270_SEQ_01<tab>Though a search through the Cabinet of Curiosity's resources for further information regarding Sophrosyne's magic has borne no fruit─through much fault of Giott's own, you gather─a new lead as to the Virtue's whereabouts did apparently present itself. Giott reasons that there's no reason not to pursue it, given the dearth of other options, so you agree to set out for the Rak'tika Greatwood in search of the eater.","","False","0x00000001","",""
"","TEXT_LUCKBA231_03270_SEQ_02<tab>You meet up with Giott, who, to no one's surprise, is enjoying the local spirits in Slitherbough. The dwarf proposes that you once again divide your efforts and kill a number of sin eaters as bait for Sophrosyne.","TEXT_LUCKBA231_03270_SEQ_02<tab>You meet up with Giott, who, to no one's surprise, is enjoying the local spirits in Slitherbough. The dwarf proposes that you once again divide your efforts and kill a number of sin eaters as bait for Sophrosyne.","","False","0x00000002","",""
"","TEXT_LUCKBA231_03270_SEQ_03<tab>You put down a pair of sin eaters in accordance with the plan. The more the better, however, so slaying a few extra would not go amiss.","TEXT_LUCKBA231_03270_SEQ_03<tab>You put down a pair of sin eaters in accordance with the plan. The more the better, however, so slaying a few extra would not go amiss.","","False","0x00000003","",""
"","TEXT_LUCKBA231_03270_SEQ_04<tab>Between your efforts and the enthusiasm with which Giott is doubtless undertaking the task, you have likely dispatched a sufficiency of sin eaters. All that remains is to rejoin your companion and wait to see if Sophrosyne appears.","TEXT_LUCKBA231_03270_SEQ_04<tab>Between your efforts and the enthusiasm with which Giott is doubtless undertaking the task, you have likely dispatched a sufficiency of sin eaters. All that remains is to rejoin your companion and wait to see if Sophrosyne appears.","","False","0x00000004","",""
"","TEXT_LUCKBA231_03270_SEQ_05<tab>Fortunately, Sophrosyne takes the bait, swiftly healing a fallen eater. Less fortunately, the Echo causes you to collapse almost immediately upon engaging it in combat. It shows you another vision of Lamitt's past, one in which the First's Warriors of Light travel to the ruins of Ronka, and it seems that it was in that ancient place that she learned the long-forgotten technique that Sophrosyne now wields.","TEXT_LUCKBA231_03270_SEQ_05<tab>Fortunately, Sophrosyne takes the bait, swiftly healing a fallen eater. Less fortunately, the Echo causes you to collapse almost immediately upon engaging it in combat. It shows you another vision of Lamitt's past, one in which the First's Warriors of Light travel to the ruins of Ronka, and it seems that it was in that ancient place that she learned the long-forgotten technique that Sophrosyne now wields.","","False","0x00000005","",""
"","TEXT_LUCKBA231_03270_SEQ_06<tab>You relate the contents of your vision to Giott, who, it transpires, has saved you from an untimely death at the hands of Sophrosyne. You do not neglect to mention the detail of Lamitt's apparent purpose in seeking the restorative magic of eld─to save her sister, though from what you do not know. Giott finds the tale to be of great interest, and suggests you both return to the Crystarium to further reflect on it...over a mug of ale, no doubt.","TEXT_LUCKBA231_03270_SEQ_06<tab>You relate the contents of your vision to Giott, who, it transpires, has saved you from an untimely death at the hands of Sophrosyne. You do not neglect to mention the detail of Lamitt's apparent purpose in seeking the restorative magic of eld─to save her sister, though from what you do not know. Giott finds the tale to be of great interest, and suggests you both return to the Crystarium to further reflect on it...over a mug of ale, no doubt.","","False","0x00000006","",""
"","TEXT_LUCKBA231_03270_SEQ_07<tab>It appears that learning of Lamitt's sister has provided Giott with a solid lead at last, as dwarven records are likely to contain at least some mention of her. It also may be worth looking into the Ronkan magic Lamitt gained access to...though whether it will be possible to do so will depend on whether Moren is willing to forgive Giott's prior transgressions at the Cabinet. Regardless, it will take the dwarf some time to investigate all possible avenues, so you are free to wander afield in the meanwhile.<br><br>※The next role quest will be available from Giott upon reaching level 78 in any healer class.","TEXT_LUCKBA231_03270_SEQ_07<tab>It appears that learning of Lamitt's sister has provided Giott with a solid lead at last, as dwarven records are likely to contain at least some mention of her. It also may be worth looking into the Ronkan magic Lamitt gained access to...though whether it will be possible to do so will depend on whether Moren is willing to forgive Giott's prior transgressions at the Cabinet. Regardless, it will take the dwarf some time to investigate all possible avenues, so you are free to wander afield in the meanwhile.<br><br>※The next role quest will be available from Giott upon reaching level 78 in any healer class.","","False","0x00000007","",""
"","TEXT_LUCKBA231_03270_SEQ_08<tab>","TEXT_LUCKBA231_03270_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_LUCKBA231_03270_SEQ_09<tab>","TEXT_LUCKBA231_03270_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_LUCKBA231_03270_SEQ_10<tab>","TEXT_LUCKBA231_03270_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_LUCKBA231_03270_SEQ_11<tab>","TEXT_LUCKBA231_03270_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_LUCKBA231_03270_SEQ_12<tab>","TEXT_LUCKBA231_03270_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_LUCKBA231_03270_SEQ_13<tab>","TEXT_LUCKBA231_03270_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_LUCKBA231_03270_SEQ_14<tab>","TEXT_LUCKBA231_03270_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_LUCKBA231_03270_SEQ_15<tab>","TEXT_LUCKBA231_03270_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_LUCKBA231_03270_SEQ_16<tab>","TEXT_LUCKBA231_03270_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_LUCKBA231_03270_SEQ_17<tab>","TEXT_LUCKBA231_03270_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_LUCKBA231_03270_SEQ_18<tab>","TEXT_LUCKBA231_03270_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_LUCKBA231_03270_SEQ_19<tab>","TEXT_LUCKBA231_03270_SEQ_19<tab>","","False","0x00000013","",""
