"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANGNA402_02267_SEQ_00<tab>The Vath keeneye stares dejectedly at a single sprig of wilted silver dew.<br>※The difficulty of this quest will be synced to your current level.","TEXT_BANGNA402_02267_SEQ_00<tab>The Vath keeneye stares dejectedly at a single sprig of wilted silver dew.<br>※The difficulty of this quest will be synced to your current level.","","False","0x00000000","",""
"","TEXT_BANGNA402_02267_SEQ_01<tab>The Vath keeneye requires four sprigs of silver dew to complete his order to the Convictory and asks that you go and gather them from Avalonia Fallen for him. Before you leave, he urges you to remain vigilant, stating that many of the Gnath have been spotted frantically collecting this very same dew.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANGNA402_02267_SEQ_01<tab>The Vath keeneye requires four sprigs of silver dew to complete his order to the Convictory and asks that you go and gather them from Avalonia Fallen for him. Before you leave, he urges you to remain vigilant, stating that many of the Gnath have been spotted frantically collecting this very same dew.<br><br>※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","","False","0x00000001","",""
"","TEXT_BANGNA402_02267_SEQ_02<tab>You have found and gathered the sprigs of silver dew. Return to Loth ast Vath and deliver them to the Vath keeneye.","TEXT_BANGNA402_02267_SEQ_02<tab>You have found and gathered the sprigs of silver dew. Return to Loth ast Vath and deliver them to the Vath keeneye.","","False","0x00000002","",""
"","TEXT_BANGNA402_02267_SEQ_03<tab>The Gnath's actions suggest they are planning a preemptive strike against the dragons. The Vath keeneye fears that this could lead to a silver dew scarcity and that his people would be left with no means of sustaining themselves. To avert a potential disaster on the horizon, he deems it time they begin planting their own silver dew.","TEXT_BANGNA402_02267_SEQ_03<tab>The Gnath's actions suggest they are planning a preemptive strike against the dragons. The Vath keeneye fears that this could lead to a silver dew scarcity and that his people would be left with no means of sustaining themselves. To avert a potential disaster on the horizon, he deems it time they begin planting their own silver dew.","","False","0x00000003","",""
"","TEXT_BANGNA402_02267_SEQ_04<tab>","TEXT_BANGNA402_02267_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANGNA402_02267_SEQ_05<tab>","TEXT_BANGNA402_02267_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANGNA402_02267_SEQ_06<tab>","TEXT_BANGNA402_02267_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANGNA402_02267_SEQ_07<tab>","TEXT_BANGNA402_02267_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANGNA402_02267_SEQ_08<tab>","TEXT_BANGNA402_02267_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANGNA402_02267_SEQ_09<tab>","TEXT_BANGNA402_02267_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANGNA402_02267_SEQ_10<tab>","TEXT_BANGNA402_02267_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANGNA402_02267_SEQ_11<tab>","TEXT_BANGNA402_02267_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANGNA402_02267_SEQ_12<tab>","TEXT_BANGNA402_02267_SEQ_12<tab>","","False","0x0000000C","",""
