"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESXMS008_00340_SEQ_00<tab>Amh Garanjy wishes you to volunteer your services to the little helper in the Goblet.<br>※This quest is available for a limited time only.","TEXT_FESXMS008_00340_SEQ_00<tab>* <var 1A 02 /var>Cette quête est un événement à durée limitée.<var 1A 01 /var><br><br>Amh Garanjy pense que vous êtes une aide précieuse et souhaiterait s'attacher vos services à La Coupe pour le reste de la fête des étoiles.","","False","0x00000000","",""
"","TEXT_FESXMS008_00340_SEQ_01<tab>Amh Garanjy has asked that you offer your assistance to her colleague in the Goblet, the residential district of Ul'dah. Speak with the saint's little helper in the Brimming Heart, and learn what more you can do to support the Starlight Celebration.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESXMS008_00340_SEQ_01<tab>Cette quête ne peut être commencée et effectuée que pendant la durée de l'événement saisonnier correspondant. Pour plus de détails, veuillez consulter The Lodestone.<br><br>Amh Garanjy était ravie d'apprendre que vous avez décidé d'assister le comité d'or<var 16 /var>ga<var 16 /var>ni<var 16 /var>sa<var 16 /var>tion de la fête des étoiles jusqu'à la fin des festivités. Adressez-vous à la disciple du saint qui se trouve à Pleincœur, à La Coupe, pour écouter ses directives.","","False","0x00000001","",""
"","TEXT_FESXMS008_00340_SEQ_02<tab>The little helper has heard of your pledge to help, and appears eager to set you to work. Speak with the volunteer once more to assist with the festivities in the Goblet.","TEXT_FESXMS008_00340_SEQ_02<tab>Amh Garanjy avait mis au courant la disciple du saint de votre arrivée. Cette dernière, estimant que vous êtes déjà <var 08 E905 ((prête)) ((prêt)) /var> à vous rendre utile, n'attend plus que votre feu vert pour vous donner ses in<var 16 /var>struc<var 16 /var>tions.","","False","0x00000002","",""
"","TEXT_FESXMS008_00340_SEQ_03<tab>","TEXT_FESXMS008_00340_SEQ_03<tab>","","False","0x00000003","",""
"","TEXT_FESXMS008_00340_SEQ_04<tab>","TEXT_FESXMS008_00340_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_FESXMS008_00340_SEQ_05<tab>","TEXT_FESXMS008_00340_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_FESXMS008_00340_SEQ_06<tab>","TEXT_FESXMS008_00340_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_FESXMS008_00340_SEQ_07<tab>","TEXT_FESXMS008_00340_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESXMS008_00340_SEQ_08<tab>","TEXT_FESXMS008_00340_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESXMS008_00340_SEQ_09<tab>","TEXT_FESXMS008_00340_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_FESXMS008_00340_SEQ_10<tab>","TEXT_FESXMS008_00340_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_FESXMS008_00340_SEQ_11<tab>","TEXT_FESXMS008_00340_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_FESXMS008_00340_SEQ_12<tab>","TEXT_FESXMS008_00340_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_FESXMS008_00340_SEQ_13<tab>","TEXT_FESXMS008_00340_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_FESXMS008_00340_SEQ_14<tab>","TEXT_FESXMS008_00340_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_FESXMS008_00340_SEQ_15<tab>","TEXT_FESXMS008_00340_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_FESXMS008_00340_SEQ_16<tab>","TEXT_FESXMS008_00340_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_FESXMS008_00340_SEQ_17<tab>","TEXT_FESXMS008_00340_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_FESXMS008_00340_SEQ_18<tab>","TEXT_FESXMS008_00340_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_FESXMS008_00340_SEQ_19<tab>","TEXT_FESXMS008_00340_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_FESXMS008_00340_SEQ_20<tab>","TEXT_FESXMS008_00340_SEQ_20<tab>","","False","0x00000014","",""
