"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANANA006_03041_SEQ_00<tab>Alpa and J'olhmyn are formulating a plan, but what could it be?
※The difficulty of this quest will be synced to your current level.","TEXT_BANANA006_03041_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<var 49 01 /var><var 48 01 /var>
カステッルム・ベロジナのアルパは、冒険者のことを待っているようだ。","","False","0x00000000","",""
"","TEXT_BANANA006_03041_SEQ_01<tab>Castellum Velodyna has undergone a dramatic transformation due to Alpa's ingenuity and ability to inspire others─although she would be the first to admit that none of this would have been possible without the loyal comrades at her side. In order to express her gratitude, she plans to hold a feast for a handful of her most steadfast supporters. After placing Gales in charge of procuring food and drink, she tasks you with delivering invitations to M'zhet Tia and Tahla Molkoh.

※Please note that the difficulty of this quest has been synced to your current level. Furthermore, you may not proceed with a class or job that is different from when you accepted this quest.","TEXT_BANANA006_03041_SEQ_01<tab>※本クエストには
「<var 48 F201FC /var><var 49 F201FD /var><var 49 01 /var><var 48 01 /var> レベルアジャスト受注クラス・ジョブ制限」が、
　設定されています。
　受注時と同じクラス・ジョブでのみ進行できます。

アルパと話した。これまで力を貸してくれた者たちを呼んで、慰労会を行おうとしているようだ。ピーリングストーンズの「メ・ゼト・ティア」と、カストルム・オリエンスの「タラ・モルコー少牙士」に、「<var 28 ((EventItem)) F61E8DFE01 /var>」を渡そう。","","False","0x00000001","",""
"","TEXT_BANANA006_03041_SEQ_02<tab>M'zhet Tia welcomes you with a broad smile and jumps at the chance of enjoying fine cuisine and fine company, especially since J'olhmyn will be attending. His response is in stark contrast to that of Tahla Molkoh, to whom the idea of eating anywhere other than a mess hall conjures images of stuffy high society banquets. She nonetheless accepts the invitation despite her concerns that she might commit some sort of social blunder.","TEXT_BANANA006_03041_SEQ_02<tab>メ・ゼト・ティアとタラ・モルコー少牙士に、<var 28 ((EventItem)) F61E8DFE01 /var>を渡した。カステッルム・ベロジナに戻り、「アルパ」に報告しよう。","","False","0x00000002","",""
"","TEXT_BANANA006_03041_SEQ_03<tab>Before you can speak at length with Alpa and J'olhmyn upon your return to the castellum, you hear sounds of distress from beyond the gate, prompting the captain to rush off by herself to investigate. In her absence, J'olhmyn confides that she has noticed a significant change in Alpa of late, and suggests taking this opportunity to watch the leader of the Gatekeepers at work.","TEXT_BANANA006_03041_SEQ_03<tab>アルパに報告した。関所の外で何かが起こっているようだ。カステッルム・ベロジナのアルパと話そう。","","False","0x00000003","",""
"","TEXT_BANANA006_03041_SEQ_04<tab>You and J'olhmyn meet Alpa outside the gates, where a man is recounting how he barely escaped from a ravenous woodland predator. There was a time when Alpa would have relied on you to eliminate such threats, but she has grown into a confident and capable battlemaid, and does not hesitate to take matters into her own hands. She makes for the forest with one of her new Qalyana allies at her side, leaving J'olhmyn to watch the castellum. Some time later, Alpa returns having slain the fiend, and it becomes clear that she has taken to the role of captain with aplomb.","TEXT_BANANA006_03041_SEQ_04<tab>アルパと話した。初めて出会った頃と比べて、アルパは、国境警備隊警備隊長として立派に成長したようだ。カステッルム・ベロジナにいるアルパと再度話そう。","","False","0x00000004","",""
"","TEXT_BANANA006_03041_SEQ_05<tab>Finally, Alpa gathers the guests for the long-awaited feast. Before the meal, M'zhet finds himself dragged into a drinking contest with Gales, which quickly takes a turn for the worse as the young tia has an immediate and disastrous reaction to the spirits. Thankfully, this has little bearing on the proceedings, and shortly thereafter a sumptuous selection of culinary delights is laid out for all to enjoy, including a miraculously recovered M'zhet. The room is soon filled with conversation and laughter until Alpa rises to give a heartfelt speech, thanking her companions for their loyalty and friendship. She reaffirms her commitment to leading the Gatekeepers, while J'olhmyn pledges to support her as they continue their work at Castellum Velodyna.","TEXT_BANANA006_03041_SEQ_05<tab>アルパは、国境警備隊と、協力してくれた者たちは、アラミゴという国に生きる仲間であり、家族であると話した。種の壁を越え、多くの仲間と出会って繋いだ絆が、これからもアラミゴの国境を守り続けていくことだろう。","","False","0x00000005","",""
"","TEXT_BANANA006_03041_SEQ_06<tab>","TEXT_BANANA006_03041_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANANA006_03041_SEQ_07<tab>","TEXT_BANANA006_03041_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANANA006_03041_SEQ_08<tab>","TEXT_BANANA006_03041_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANANA006_03041_SEQ_09<tab>","TEXT_BANANA006_03041_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANANA006_03041_SEQ_10<tab>","TEXT_BANANA006_03041_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANANA006_03041_SEQ_11<tab>","TEXT_BANANA006_03041_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANANA006_03041_SEQ_12<tab>","TEXT_BANANA006_03041_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANANA006_03041_SEQ_13<tab>","TEXT_BANANA006_03041_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANANA006_03041_SEQ_14<tab>","TEXT_BANANA006_03041_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANANA006_03041_SEQ_15<tab>","TEXT_BANANA006_03041_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANANA006_03041_SEQ_16<tab>","TEXT_BANANA006_03041_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANANA006_03041_SEQ_17<tab>","TEXT_BANANA006_03041_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANANA006_03041_SEQ_18<tab>","TEXT_BANANA006_03041_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANANA006_03041_SEQ_19<tab>","TEXT_BANANA006_03041_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANANA006_03041_SEQ_20<tab>","TEXT_BANANA006_03041_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANANA006_03041_SEQ_21<tab>","TEXT_BANANA006_03041_SEQ_21<tab>","","False","0x00000015","",""
