"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSE415_00084_SEQ_00<tab>A plan has been devised, and Minfilia would have it carried out without further delay.","TEXT_GAIUSE415_00084_SEQ_00<tab>План разработан, и Минфилия предлагает немедленно приступать.","","False","0x00000000","",""
"","TEXT_GAIUSE415_00084_SEQ_01<tab>According to Minfilia, Alphinaud has asked to speak with you before you join your fellow Scions inside Snowcloak, where preparations for Moenbryda's plan are already underway. Though she believes with all her heart that you will survive, she nevertheless thanks you for all you have done in service to the realm. Bid farewell to the Antecedent and rendezvous with Alphinaud at Snowcloak.","TEXT_GAIUSE415_00084_SEQ_01<tab>По словам Минфилии, Альфино попросил вас поговорить с ним перед отбытием в Снежную Стену, где ваши товарищи Хранители уже занимаются подготовкой к плану Мунбриды. Она полностью уверена, что вы выживете, однако на всякий случай благодарит напоследок за все ваши заслуги перед Эорзией. Попрощайтесь с Минфилией и отправляйтесь на встречу с Альфино в Снежную Стену.","","False","0x00000001","",""
"","TEXT_GAIUSE415_00084_SEQ_02<tab>Accompanied by Alphinaud and Moenbryda, you journey to the heart of Snowcloak, where the assembled Scions channel their aether into Moenbryda's white auracite. The scholar then directs the flow into the nearby aetheryte, which begins to glow brightly. At Moenbryda's instruction, you attune to the giant crystal, opening a path to Iceheart's sanctuary...probably. Speak with Alphinaud one last time before teleporting to only the gods know where.","TEXT_GAIUSE415_00084_SEQ_02<tab>Вместе с Альфино и Мунбридой вы отправляетесь в сердце Снежной Стены, где Хранители начинают накачивать белый аурацит Мунбриды эфиром. Учёная затем направляет поток энергии на ближайший эфирит, который начинает ярко светиться. Следуйте инструкциям Мунбриды и настройтесь на гигантский кристалл, тем самым (неверное) открывая путь в святилище леди Ледяное Сердце. Поговорите с Альфино на прощанье перед тем, как телепортироваться чёрт знает куда.","","False","0x00000002","",""
"","TEXT_GAIUSE415_00084_SEQ_03<tab>Given the likelihood that Iceheart is now aware of your plans and making haste to complete the summoning ritual, Alphinaud advises you to assemble a party of battle-hardened adventurers capable of felling Shiva if necessary. However, before you do so, he bids you speak with the stalwart Temple Knight, who bears a missive from Ser Aymeric addressed to you.","TEXT_GAIUSE415_00084_SEQ_03<tab>Учитывая высокую вероятность того, что Ледяное Сердце знает о ваших планах и ускорила подготовку к ритуалу призыва, Альфино советует вам собрать группу закалённых в боях искателей приключений, способных уничтожить Шиву, если это будет необходимо. Однако перед тем, как вы это сделаете, он отправляет вас поговорить с храмовником-стражем, который принёс для вас письмо от сэра Эмерика.","","False","0x00000003","",""
"","TEXT_GAIUSE415_00084_SEQ_04<tab>The lord commander of the Temple Knights is appreciative of your efforts, and he prays that Halone will see you safely home. Call upon your allies, place your faith in Moenbryda's plan, and put an end to Iceheart's crusade.

※The Akh Afah Amphitheatre (Hard) can be accessed via the Duty Finder.","TEXT_GAIUSE415_00084_SEQ_04<tab>Лорд-командующий храмовников благодарит вас за вашу самоотверженность и обещает молить Халону, чтобы вы вернулись невредимыми. Призовите на помощь ваших союзников, положитесь на план Мунбриды и положите конец леди Ледяное Сердце и её амбициям.

※Войти в «Амфитеатр Ах Афа (Сложный)» можно с помощью функции «Поиск миссии».","","False","0x00000004","",""
"","TEXT_GAIUSE415_00084_SEQ_05<tab>Those driven to the brink of despair are ever the most dangerous of foes, as you are reminded when Iceheart offers her own body as a vessel for Shiva's soul. The resurrected saint of eld lashes out with a righteous fury, pushing you to your mortal limits...yet the battle ends as it began, with the young maiden kneeling in the snow, cursing your ignorance.","TEXT_GAIUSE415_00084_SEQ_05<tab>Доведённые до отчаяния — самые опасные враги, и в этом вы убеждаетесь лично, когда Ледяное Сердце отдаёт собственное тело в качестве сосуда для души Шивы. Воскрешённая святая в праведной ярости подвергает суровому испытанию ваши умения, однако битва кончается так же, как и началась — с молодой девушки, стоящей на коленях в снегу, проклинающей вашу твердолобость.","","False","0x00000005","",""
"","TEXT_GAIUSE415_00084_SEQ_06<tab>“Hear... Feel... Think...” Of Iceheart's cryptic parting words, her final three leave the deepest impression, for few indeed are the ways in which one could come to know them. Could it be that Hydaelyn speaks to your enemy too? For the time being, put aside such troubling thoughts and inform Moenbryda of your victory.","TEXT_GAIUSE415_00084_SEQ_06<tab>«Услышь, почувствуй, вспомни» — прощальные слова леди Ледяное Сердце повергают вас в смятение. Откуда ей вообще известна эта фраза? Возможно ли такое, что Хайделин общается и с вашим врагом? В первую очередь стоило бы отложить беспокойные мысли и сообщить Мунбриде о вашей победе.","","False","0x00000006","",""
"","TEXT_GAIUSE415_00084_SEQ_07<tab>Moenbryda is understandably skeptical about your description of events. However, she is willing to give you the benefit of the doubt for the time being─on the understanding that you did not suffer any form of head trauma. Certain of what you saw, you elect not to inform her that cranial injuries are only to be expected when doing battle with a primal.","TEXT_GAIUSE415_00084_SEQ_07<tab>Мунбрида весьма скептически выслушивает ваш рассказ о произошедшем. Но тем не менее соглашается подумать над вашими словами — в случае, если выяснится, что в бою вам не прикладывали по башке. Уверенные в том, что вы видели, вы всё же решаете не посвящать Мунбриду в детали битв с праймалами, где удары — и не только по голове — обычное дело.","","False","0x00000007","",""
"","TEXT_GAIUSE415_00084_SEQ_08<tab>","","","False","0x00000008","",""
"","TEXT_GAIUSE415_00084_SEQ_09<tab>","","","False","0x00000009","",""
"","TEXT_GAIUSE415_00084_SEQ_10<tab>","","","False","0x0000000A","",""
"","TEXT_GAIUSE415_00084_SEQ_11<tab>","","","False","0x0000000B","",""
"","TEXT_GAIUSE415_00084_SEQ_12<tab>","","","False","0x0000000C","",""
"","TEXT_GAIUSE415_00084_SEQ_13<tab>","","","False","0x0000000D","",""
"","TEXT_GAIUSE415_00084_SEQ_14<tab>","","","False","0x0000000E","",""
"","TEXT_GAIUSE415_00084_SEQ_15<tab>","","","False","0x0000000F","",""
"","TEXT_GAIUSE415_00084_SEQ_16<tab>","","","False","0x00000010","",""
"","TEXT_GAIUSE415_00084_SEQ_17<tab>","","","False","0x00000011","",""
"","TEXT_GAIUSE415_00084_SEQ_18<tab>","","","False","0x00000012","",""
"","TEXT_GAIUSE415_00084_SEQ_19<tab>","","","False","0x00000013","",""
"","TEXT_GAIUSE415_00084_SEQ_20<tab>","","","False","0x00000014","",""
"","TEXT_GAIUSE415_00084_SEQ_21<tab>","","","False","0x00000015","",""
"","TEXT_GAIUSE415_00084_SEQ_22<tab>","","","False","0x00000016","",""
"","TEXT_GAIUSE415_00084_SEQ_23<tab>","","","False","0x00000017","",""
"","TEXT_GAIUSE415_00084_TODO_00<tab>Speak with Alphinaud at Snowcloak.","TEXT_GAIUSE415_00084_TODO_00<tab>Поговорите с Альфино у Снежной Стены.","","False","0x00000018","",""
"","TEXT_GAIUSE415_00084_TODO_01<tab>Speak with Alphinaud.","TEXT_GAIUSE415_00084_TODO_01<tab>Поговорите с Альфино.","","False","0x00000019","",""
"","TEXT_GAIUSE415_00084_TODO_02<tab>Speak with the stalwart Temple Knight.","TEXT_GAIUSE415_00084_TODO_02<tab>Поговорите с храмовником-стражем.","","False","0x0000001A","",""
"","TEXT_GAIUSE415_00084_TODO_03<tab>Confront Shiva in the Akh Afah Amphitheatre (Hard).","TEXT_GAIUSE415_00084_TODO_03<tab>Бросьте вызов Шиве в испытании «Амфитеатр Ах Афа (Сложный)».","","False","0x0000001B","",""
"","TEXT_GAIUSE415_00084_TODO_04<tab>Confront Shiva in the Akh Afah Amphitheatre (Hard).","TEXT_GAIUSE415_00084_TODO_04<tab>Бросьте вызов Шиве в испытании «Амфитеатр Ах Афа (Сложный)».","","False","0x0000001C","",""
"","TEXT_GAIUSE415_00084_TODO_05<tab>Speak with Moenbryda.","TEXT_GAIUSE415_00084_TODO_05<tab>Поговорите с Мунбридой.","","False","0x0000001D","",""
"","TEXT_GAIUSE415_00084_TODO_06<tab>","","","False","0x0000001E","",""
"","TEXT_GAIUSE415_00084_TODO_07<tab>","","","False","0x0000001F","",""
"","TEXT_GAIUSE415_00084_TODO_08<tab>","","","False","0x00000020","",""
"","TEXT_GAIUSE415_00084_TODO_09<tab>","","","False","0x00000021","",""
"","TEXT_GAIUSE415_00084_TODO_10<tab>","","","False","0x00000022","",""
"","TEXT_GAIUSE415_00084_TODO_11<tab>","","","False","0x00000023","",""
"","TEXT_GAIUSE415_00084_TODO_12<tab>","","","False","0x00000024","",""
"","TEXT_GAIUSE415_00084_TODO_13<tab>","","","False","0x00000025","",""
"","TEXT_GAIUSE415_00084_TODO_14<tab>","","","False","0x00000026","",""
"","TEXT_GAIUSE415_00084_TODO_15<tab>","","","False","0x00000027","",""
"","TEXT_GAIUSE415_00084_TODO_16<tab>","","","False","0x00000028","",""
"","TEXT_GAIUSE415_00084_TODO_17<tab>","","","False","0x00000029","",""
"","TEXT_GAIUSE415_00084_TODO_18<tab>","","","False","0x0000002A","",""
"","TEXT_GAIUSE415_00084_TODO_19<tab>","","","False","0x0000002B","",""
"","TEXT_GAIUSE415_00084_TODO_20<tab>","","","False","0x0000002C","",""
"","TEXT_GAIUSE415_00084_TODO_21<tab>","","","False","0x0000002D","",""
"","TEXT_GAIUSE415_00084_TODO_22<tab>","","","False","0x0000002E","",""
"","TEXT_GAIUSE415_00084_TODO_23<tab>","","","False","0x0000002F","",""
