"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANMOG203_02296_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Mogek wants to light up the skies of Zenith.","TEXT_BANMOG203_02296_SEQ_00<tab><var 48 F201FC /var><var 49 F201FD /var> Quest Sync<var 49 01 /var><var 48 01 /var><br>Mogek wants to light up the skies of Zenith.","","False","0x00000000","",""
"","TEXT_BANMOG203_02296_SEQ_01<tab>Bahrr Lehs is in need of decorations, and Mogek plans to illuminate the area with sparkling mallows. The moogle he sent to gather them, however, is taking longer than expected. Though the delay is likely a trivial matter, Mogek will leave nothing to chance, and so he asks you to check on his underling in Sohm Al.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","TEXT_BANMOG203_02296_SEQ_01<tab>Bahrr Lehs is in need of decorations, and Mogek plans to illuminate the area with sparkling mallows. The moogle he sent to gather them, however, is taking longer than expected. Though the delay is likely a trivial matter, Mogek will leave nothing to chance, and so he asks you to check on his underling in Sohm Al.<br><br>※Please note that the difficulty of this quest has been synced to your current level.","","False","0x00000001","",""
"","TEXT_BANMOG203_02296_SEQ_02<tab>No sooner do you arrive at Sohm Al than you find a mournful moogle lamenting over his hatchet. He asks if you can help repair it, lest he anger the Mogmenders for delaying their plans. Once completed, he asks that you take the replacement parts to his moogle companion nearby.<br><br>※In the event you lose the materials or the synthesis ends in failure, you may try again by speaking with the mournful moogle.","TEXT_BANMOG203_02296_SEQ_02<tab>No sooner do you arrive at Sohm Al than you find a mournful moogle lamenting over his hatchet. He asks if you can help repair it, lest he anger the Mogmenders for delaying their plans. Once completed, he asks that you take the replacement parts to his moogle companion nearby.<br><br>※In the event you lose the materials or the synthesis ends in failure, you may try again by speaking with the mournful moogle.","","False","0x00000002","",""
"","TEXT_BANMOG203_02296_SEQ_03<tab>You hand over supplies to a moogle relieved to see parts for fixing hatchets rather than another broken one. He tells you to inform Mogek that, thanks to your repairs, the collection of sparkling mallows will proceed as scheduled.","TEXT_BANMOG203_02296_SEQ_03<tab>You hand over supplies to a moogle relieved to see parts for fixing hatchets rather than another broken one. He tells you to inform Mogek that, thanks to your repairs, the collection of sparkling mallows will proceed as scheduled.","","False","0x00000003","",""
"","TEXT_BANMOG203_02296_SEQ_04<tab>Mogek claims you confirmed his suspicions of trouble, and thanks you for repairing his worker's hatchet. Noticing your nonplussed expression, Mogek reassures you he clearly stated that “something” and not “nothing” was delaying the delivery of sparkling mallow.","TEXT_BANMOG203_02296_SEQ_04<tab>Mogek claims you confirmed his suspicions of trouble, and thanks you for repairing his worker's hatchet. Noticing your nonplussed expression, Mogek reassures you he clearly stated that “something” and not “nothing” was delaying the delivery of sparkling mallow.","","False","0x00000004","",""
"","TEXT_BANMOG203_02296_SEQ_05<tab>","TEXT_BANMOG203_02296_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANMOG203_02296_SEQ_06<tab>","TEXT_BANMOG203_02296_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANMOG203_02296_SEQ_07<tab>","TEXT_BANMOG203_02296_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANMOG203_02296_SEQ_08<tab>","TEXT_BANMOG203_02296_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANMOG203_02296_SEQ_09<tab>","TEXT_BANMOG203_02296_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANMOG203_02296_SEQ_10<tab>","TEXT_BANMOG203_02296_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANMOG203_02296_SEQ_11<tab>","TEXT_BANMOG203_02296_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANMOG203_02296_SEQ_12<tab>","TEXT_BANMOG203_02296_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANMOG203_02296_SEQ_13<tab>","TEXT_BANMOG203_02296_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANMOG203_02296_SEQ_14<tab>","TEXT_BANMOG203_02296_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANMOG203_02296_SEQ_15<tab>","TEXT_BANMOG203_02296_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANMOG203_02296_SEQ_16<tab>","TEXT_BANMOG203_02296_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANMOG203_02296_SEQ_17<tab>","TEXT_BANMOG203_02296_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANMOG203_02296_SEQ_18<tab>","TEXT_BANMOG203_02296_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANMOG203_02296_SEQ_19<tab>","TEXT_BANMOG203_02296_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANMOG203_02296_SEQ_20<tab>","TEXT_BANMOG203_02296_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANMOG203_02296_SEQ_21<tab>","TEXT_BANMOG203_02296_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANMOG203_02296_SEQ_22<tab>","TEXT_BANMOG203_02296_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANMOG203_02296_SEQ_23<tab>","TEXT_BANMOG203_02296_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANMOG203_02296_TODO_00<tab>Speak with the mournful moogle.","TEXT_BANMOG203_02296_TODO_00<tab>Speak with the mournful moogle.","","False","0x00000018","",""
"","TEXT_BANMOG203_02296_TODO_01<tab><var 08 E3E802E803 ((Synthesize the gathering tool components.)) ((Deliver the gathering tool components to the malcontent moogle.)) /var>","TEXT_BANMOG203_02296_TODO_01<tab><var 08 E3E802E803 ((Synthesize the gathering tool components.)) ((Deliver the gathering tool components to the malcontent moogle.)) /var>","","False","0x00000019","",""
"","TEXT_BANMOG203_02296_TODO_02<tab>Report to Mogek the Marvelous.","TEXT_BANMOG203_02296_TODO_02<tab>Report to Mogek the Marvelous.","","False","0x0000001A","",""
"","TEXT_BANMOG203_02296_TODO_03<tab>","TEXT_BANMOG203_02296_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANMOG203_02296_TODO_04<tab>","TEXT_BANMOG203_02296_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANMOG203_02296_TODO_05<tab>","TEXT_BANMOG203_02296_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANMOG203_02296_TODO_06<tab>","TEXT_BANMOG203_02296_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANMOG203_02296_TODO_07<tab>","TEXT_BANMOG203_02296_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANMOG203_02296_TODO_08<tab>","TEXT_BANMOG203_02296_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANMOG203_02296_TODO_09<tab>","TEXT_BANMOG203_02296_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANMOG203_02296_TODO_10<tab>","TEXT_BANMOG203_02296_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANMOG203_02296_TODO_11<tab>","TEXT_BANMOG203_02296_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANMOG203_02296_TODO_12<tab>","TEXT_BANMOG203_02296_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANMOG203_02296_TODO_13<tab>","TEXT_BANMOG203_02296_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANMOG203_02296_TODO_14<tab>","TEXT_BANMOG203_02296_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANMOG203_02296_TODO_15<tab>","TEXT_BANMOG203_02296_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANMOG203_02296_TODO_16<tab>","TEXT_BANMOG203_02296_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANMOG203_02296_TODO_17<tab>","TEXT_BANMOG203_02296_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANMOG203_02296_TODO_18<tab>","TEXT_BANMOG203_02296_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANMOG203_02296_TODO_19<tab>","TEXT_BANMOG203_02296_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANMOG203_02296_TODO_20<tab>","TEXT_BANMOG203_02296_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANMOG203_02296_TODO_21<tab>","TEXT_BANMOG203_02296_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANMOG203_02296_TODO_22<tab>","TEXT_BANMOG203_02296_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANMOG203_02296_TODO_23<tab>","TEXT_BANMOG203_02296_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_BANMOG203_02296_MOGEK_000_000<tab>Tell me, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, have you ever heard of sparkling mallows? At the very least I'm sure you've seen them. Twinkling balls of fluff dotting the landscape here and there. We plan to use them to spruce up the monument grounds, kupo!","TEXT_BANMOG203_02296_MOGEK_000_000<tab>Tell me, <var 2C ((<var 29 EB02 /var>)) (( )) 02 /var>, have you ever heard of sparkling mallows? At the very least I'm sure you've seen them. Twinkling balls of fluff dotting the landscape here and there. We plan to use them to spruce up the monument grounds, kupo!","","False","0x00000030","",""
"","TEXT_BANMOG203_02296_MOGEK_000_001<tab>I sent someone to gather a few, but alas, they've yet to return. You would think picking a few plants would be an easy task.","TEXT_BANMOG203_02296_MOGEK_000_001<tab>I sent someone to gather a few, but alas, they've yet to return. You would think picking a few plants would be an easy task.","","False","0x00000031","",""
"","TEXT_BANMOG203_02296_MOGEK_000_002<tab>I'm sure it's nothing serious, but I would be remiss not to be certain, which is why I need you to travel to Sohm Al and see if anything is wrong.","TEXT_BANMOG203_02296_MOGEK_000_002<tab>I'm sure it's nothing serious, but I would be remiss not to be certain, which is why I need you to travel to Sohm Al and see if anything is wrong.","","False","0x00000032","",""
