"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBREL103_02214_SEQ_00<tab>Ardashir is concerned about the anima's growth.<br>※Changing classes or jobs will prevent progress during this quest.","TEXT_JOBREL103_02214_SEQ_00<tab><var 48 F201F6 /var><var 49 F201F7 /var>Règle spéciale<var 1D /var>:  classe ou job fixe<var 49 01 /var><var 48 01 /var><br>Ardashir pense que l'esprit a besoin d'une nouvelle pierre d'âme pour s'épanouir.","","False","0x00000000","",""
"","TEXT_JOBREL103_02214_SEQ_01<tab>The anima has grown at a rattling pace, absorbing large amounts of aether in the process. Ardashir fears this rapid development may exceed the limits of the soulstone serving as its base. To ensure all your hard work is not wasted, he plans to fortify the soulstone, as well as have Gerolt forge a new weapon to hold it. This new weapon, however, will require four materials essential for conducting large quantities of aether: enchanted rubber, fast-drying carboncoat, fast-acting Allagan catalyst, and divine water. Gerolt suggests seeking out a merchant named Cristiana at the House of Splendors in Mor Dhona who may have what he requires.<br><br>※You may not proceed with a class or job that is different from when you accepted this quest.","TEXT_JOBREL103_02214_SEQ_01<tab>* <var 1A 02 /var>Cette quête fait l'objet de la règle spéciale <var 48 F201F6 /var><var 49 F201F7 /var> classe ou job fixe<var 49 01 /var><var 48 01 /var>. Il n'est possible de progresser qu'avec la classe ou le job qui a servi à la commencer.<var 1A 01 /var><br>* <var 1A 02 /var>Il est nécessaire de s'équiper ou d'avoir dans son inventaire ou arsenal l'arme anima pour progresser.<var 1A 01 /var><br><br>Afin de permettre à l'esprit synthétique de poursuivre son développement, Ardashir a décidé d'améliorer la pierre d'âme qui l'accueille. Gerolt, lui, va devoir forger une nouvelle arme anima sur laquelle la pierre pourra être fixée. Ayant pour cela besoin de matériaux à forte conductivité éthéréenne, il vous a demandé de lui apporter <var 33 ((Item)) 02F235090202 /var>, <var 33 ((Item)) 02F2350A0202 /var>, <var 33 ((Item)) 02F2350C0202 /var>, et <var 33 ((Item)) 02F2350B0202 /var>. Pour obtenir ces objets, adressez-vous à Cristiana, au Glas des revenants, dans le Mor Dhona.","","False","0x00000001","",""
"","TEXT_JOBREL103_02214_SEQ_02<tab>Cristiana's wares are limited, but she does, in fact, have what you seek. If only it were as simple as paying her in gil. She demands several expertly exotic goods in exchange for the materials Gerolt asked for. Whether you fashion them, find them, or trade for them, you must acquire what Gerolt needs if you are to complete the anima weapon.","TEXT_JOBREL103_02214_SEQ_02<tab>Ses affaires n'étant pas assez florissantes à son goût, Cristiana vous a demandé de lui apporter des produits sus<var 16 /var>cep<var 16 /var>ti<var 16 /var>bles d'intéresser ses clients, en échange des matériaux demandés par Gerolt. Satisfaites à ses demandes pour obtenir <var 33 ((Item)) 02F235090202 /var>, <var 33 ((Item)) 02F2350A0202 /var>, <var 33 ((Item)) 02F2350C0202 /var>, et <var 33 ((Item)) 02F2350B0202 /var>, puis retournez à l'Hélice, à Azys Lla, pour livrer sa commande au forgeron.","","False","0x00000002","",""
"","TEXT_JOBREL103_02214_SEQ_03<tab>You acquire the materials necessary to affix the anima's soulstone to a new weapon. Gerolt takes up his hammer and once again puts his legendary skills to work. The familiar ring of his hammer fills the air, but the medley soon comes to a halt. His latest masterpiece is complete, and your weapon is born anew! You hold it aloft, basking in its light, when what appears to be a sprite takes shape before you and thanks you for all you have done. You smile and nod, knowing your journey together has only just begun.","TEXT_JOBREL103_02214_SEQ_03<tab>Vous avez remis à Gerolt les matériaux conducteurs d'éther qu'il vous avait demandés, et il a pu forger une arme anima de nouvelle génération, qui permettra à l'esprit qui l'habite de s'épanouir pleinement. Ardashir est bien décidé à poursuivre ses recherches sur les esprits synthétiques et, grâce à votre aide et à celle du meilleur forgeron d'Éorzéa, à faire entrer les armes anima dans la légende. Entraînez-vous à tirer le meilleur parti de la vôtre au cours de vos aventures, car elle recèle encore de nombreux secrets<var 1D /var>!","","False","0x00000003","",""
"","TEXT_JOBREL103_02214_SEQ_04<tab>","TEXT_JOBREL103_02214_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_JOBREL103_02214_SEQ_05<tab>","TEXT_JOBREL103_02214_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_JOBREL103_02214_SEQ_06<tab>","TEXT_JOBREL103_02214_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_JOBREL103_02214_SEQ_07<tab>","TEXT_JOBREL103_02214_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBREL103_02214_SEQ_08<tab>","TEXT_JOBREL103_02214_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBREL103_02214_SEQ_09<tab>","TEXT_JOBREL103_02214_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBREL103_02214_SEQ_10<tab>","TEXT_JOBREL103_02214_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBREL103_02214_SEQ_11<tab>","TEXT_JOBREL103_02214_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBREL103_02214_SEQ_12<tab>","TEXT_JOBREL103_02214_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBREL103_02214_SEQ_13<tab>","TEXT_JOBREL103_02214_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBREL103_02214_SEQ_14<tab>","TEXT_JOBREL103_02214_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBREL103_02214_SEQ_15<tab>","TEXT_JOBREL103_02214_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBREL103_02214_SEQ_16<tab>","TEXT_JOBREL103_02214_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBREL103_02214_SEQ_17<tab>","TEXT_JOBREL103_02214_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBREL103_02214_SEQ_18<tab>","TEXT_JOBREL103_02214_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBREL103_02214_SEQ_19<tab>","TEXT_JOBREL103_02214_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBREL103_02214_SEQ_20<tab>","TEXT_JOBREL103_02214_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBREL103_02214_SEQ_21<tab>","TEXT_JOBREL103_02214_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBREL103_02214_SEQ_22<tab>","TEXT_JOBREL103_02214_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBREL103_02214_SEQ_23<tab>","TEXT_JOBREL103_02214_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBREL103_02214_TODO_00<tab>With <var 08 E4E80514 ((<var 31 ((Item)) 03F2351D0202 /var> and <var 31 ((Item)) 03F2352A0202 /var>)) ((<var 08 E4E80515 ((<var 31 ((Item)) 03F2351E0202 /var>)) ((<var 08 E4E80516 ((<var 31 ((Item)) 03F2351F0202 /var>)) ((<var 08 E4E80517 ((<var 31 ((Item)) 03F235200202 /var>)) ((<var 08 E4E80518 ((<var 31 ((Item)) 03F235210202 /var>)) ((<var 08 E4E80519 ((<var 31 ((Item)) 03F235250202 /var>)) ((<var 08 E4E8051A ((<var 31 ((Item)) 03F235260202 /var>)) ((<var 08 E4E8051C ((<var 31 ((Item)) 03F235270202 /var>)) ((<var 08 E4E8051D ((<var 31 ((Item)) 03F235280202 /var>)) ((<var 08 E4E8051F ((<var 31 ((Item)) 03F235220202 /var>)) ((<var 08 E4E80520 ((<var 31 ((Item)) 03F235240202 /var>)) ((<var 08 E4E80521 ((<var 31 ((Item)) 03F235230202 /var>)) ((<var 08 E4E80522 ((<var 31 ((Item)) 03F235290202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> equipped or in your inventory, speak with Cristiana in Revenant's Toll.","TEXT_JOBREL103_02214_TODO_00<tab>Parler à Cristiana en possession ou équipé<var 08 E905 ((e)) (()) /var> <var 08 E4E80514 ((<var 33 ((Item)) 0AF2351D0202 /var> et <var 33 ((Item)) 0AF2352A0202 /var>)) ((<var 08 E4E80515 ((<var 33 ((Item)) 0AF2351E0202 /var>)) ((<var 08 E4E80516 ((<var 33 ((Item)) 0AF2351F0202 /var>)) ((<var 08 E4E80517 ((<var 33 ((Item)) 0AF235200202 /var>)) ((<var 08 E4E80518 ((<var 33 ((Item)) 0AF235210202 /var>)) ((<var 08 E4E80519 ((<var 33 ((Item)) 0AF235250202 /var>)) ((<var 08 E4E8051A ((<var 33 ((Item)) 0AF235260202 /var>)) ((<var 08 E4E8051C ((<var 33 ((Item)) 0AF235270202 /var>)) ((<var 08 E4E8051D ((<var 33 ((Item)) 0AF235280202 /var>)) ((<var 08 E4E8051F ((<var 33 ((Item)) 0AF235220202 /var>)) ((<var 08 E4E80520 ((<var 33 ((Item)) 0AF235240202 /var>)) ((<var 08 E4E80521 ((<var 33 ((Item)) 0AF235230202 /var>)) ((<var 08 E4E80522 ((<var 33 ((Item)) 0AF235290202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>, au Glas des revenants","","False","0x00000018","",""
