"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBFST042_00198_SEQ_00<tab>Pauline, a conjurer at Gabineaux's Bower, seeks an able adventurer to cull the local hoglet population.","TEXT_SUBFST042_00198_SEQ_00<tab>Pauline, de la cabane de Gabineaux, cherche un aventurier expérimenté pour l'aider à endiguer la pullulation de gorets.","","False","0x00000000","",""
"","TEXT_SUBFST042_00198_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var> This quest has been adjusted. Please abandon the quest and restart it by speaking to Pauline at Gabineaux's Bower.<var 49 01 /var><var 48 01 /var><br><br>※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings.","TEXT_SUBFST042_00198_SEQ_01<tab><var 48 F20215 /var><var 49 F20216 /var><var 12 40 /var>Cette quête a subi des mo<var 16 /var>di<var 16 /var>fi<var 16 /var>ca<var 16 /var>tions depuis que vous l'avez acceptée. Abandonnez-la et parlez à Pauline à la cabane de Gabineaux afin de la recommencer.<var 49 01 /var><var 48 01 /var><br><br>* Le guide de l'épopée vous indique votre prochaine quête. Il peut être affiché ou masqué à partir du menu Configuration personnage, rubrique Interface et fenêtres.","","False","0x00000001","",""
"","TEXT_SUBFST042_00198_SEQ_02<tab>You have butchered half a dozen hoglets. Report to Pauline at Gabineaux's Bower.","TEXT_SUBFST042_00198_SEQ_02<tab>Vous avez vaincu les six gorets comme Pauline vous le demandait. À présent, retournez la voir à la cabane de Gabineaux.","","False","0x00000002","",""
"","TEXT_SUBFST042_00198_SEQ_03<tab>Pauline senses the elementals' joy at your efforts to restore the natural balance. Each small victory brings stability to the forest's cycle of life.","TEXT_SUBFST042_00198_SEQ_03<tab>Pauline vous explique que les esprits se réjouiront de votre con<var 16 /var>tri<var 16 /var>bu<var 16 /var>tion à la renaissance de la forêt. La Sylve est bâtie sur l'équilibre fragile des êtres vivants qui la peuplent. Le moindre bouleversement chez une espèce peut en menacer gravement une autre, c'est pourquoi l'harmonie doit toujours être préservée.","","False","0x00000003","",""
"","TEXT_SUBFST042_00198_SEQ_04<tab>","TEXT_SUBFST042_00198_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBFST042_00198_SEQ_05<tab>","TEXT_SUBFST042_00198_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBFST042_00198_SEQ_06<tab>","TEXT_SUBFST042_00198_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBFST042_00198_SEQ_07<tab>","TEXT_SUBFST042_00198_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBFST042_00198_SEQ_08<tab>","TEXT_SUBFST042_00198_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBFST042_00198_SEQ_09<tab>","TEXT_SUBFST042_00198_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBFST042_00198_SEQ_10<tab>","TEXT_SUBFST042_00198_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBFST042_00198_SEQ_11<tab>","TEXT_SUBFST042_00198_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBFST042_00198_SEQ_12<tab>","TEXT_SUBFST042_00198_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBFST042_00198_SEQ_13<tab>","TEXT_SUBFST042_00198_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBFST042_00198_SEQ_14<tab>","TEXT_SUBFST042_00198_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBFST042_00198_SEQ_15<tab>","TEXT_SUBFST042_00198_SEQ_15<tab>","","False","0x0000000F","",""
