"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_BANKOB102_01326_SEQ_00<tab>789th Order Dustman Bo Zu wants his dinner, but he'll be damned if he's going to work for it.","TEXT_BANKOB102_01326_SEQ_00<tab>L'éboueur Bo Zu a tellement faim qu'il arrive à jouer de la <var 1A 02 /var>musique<var 1A 01 /var> avec les gargouillements de son estomac.","","False","0x00000000","",""
"","TEXT_BANKOB102_01326_SEQ_01<tab>The labor<var 1F /var>averse Bo Zu has caught word of generous meals being distributed by Zo Ga to those industrious kobolds who have earned the fugleman's favor, and has concluded that the 789th is equally deserving of gustatory gratification despite their decided lack of productivity. Head to Iron Lake and appropriate three lavish lunchpots so that Bo Zu and his friends can feast like their hard<var 1F /var>working peers for a day.","TEXT_BANKOB102_01326_SEQ_01<tab>Désireux de calmer la faim qui le ronge, Bo Zu vous a fait part de son souhait de goûter <var 33 ((EventItem)) 08F61E89630302 /var> que les meilleurs hommes-taupes reçoivent en récompense de leur labeur. Allez au lac de Fer en récupérer trois pour lui.","","False","0x00000001","",""
"","TEXT_BANKOB102_01326_SEQ_02<tab>You have managed to secure three piping hot lunchpots. Deliver the feast to the 789th Order Dig in hopes that it will sate the stomach of the slavering Bo Zu.","TEXT_BANKOB102_01326_SEQ_02<tab>Vous avez réussi à mettre la main sur trois de ces délicieu<var 08 ((<var 28 ((EventItem)) F61E896307 /var>)) ((ses)) ((x)) /var> <var 33 ((EventItem)) 0DF61E89630302 /var>. Apportez-les sans plus tarder à Bo Zu avant que son estomac ne fasse plus de bruit qu'un troupeau de goobbues en furie.","","False","0x00000002","",""
"","TEXT_BANKOB102_01326_SEQ_03<tab>Bo Zu revels in the fruits of your success, though any hopes that the dustman has learned a lesson about the value of hard work are promptly dashed when he shamelessly expresses his eagerness to impose upon you similarly again. You can only hope that the idle<var 1F /var>handed kobold's stomach remains sated for the foreseeable future.","TEXT_BANKOB102_01326_SEQ_03<tab>Vous avez lu de l'excitation dans les yeux de Bo Zu lorsqu'il a découvert <var 33 ((EventItem)) 03F61E89630302 /var> que vous lui avez apporté<var 08 ((<var 28 ((EventItem)) F61E896307 /var>)) ((e)) (()) /var>s. Difficile de dire si c'est aussi bon qu'il veut bien vous le faire croire, mais vous constatez que les gargouillements de son estomac se sont quelque peu calmés... Mais pour combien de temps<var 1D /var>?","","False","0x00000003","",""
"","TEXT_BANKOB102_01326_SEQ_04<tab>","TEXT_BANKOB102_01326_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_BANKOB102_01326_SEQ_05<tab>","TEXT_BANKOB102_01326_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_BANKOB102_01326_SEQ_06<tab>","TEXT_BANKOB102_01326_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_BANKOB102_01326_SEQ_07<tab>","TEXT_BANKOB102_01326_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_BANKOB102_01326_SEQ_08<tab>","TEXT_BANKOB102_01326_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_BANKOB102_01326_SEQ_09<tab>","TEXT_BANKOB102_01326_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_BANKOB102_01326_SEQ_10<tab>","TEXT_BANKOB102_01326_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_BANKOB102_01326_SEQ_11<tab>","TEXT_BANKOB102_01326_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_BANKOB102_01326_SEQ_12<tab>","TEXT_BANKOB102_01326_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_BANKOB102_01326_SEQ_13<tab>","TEXT_BANKOB102_01326_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_BANKOB102_01326_SEQ_14<tab>","TEXT_BANKOB102_01326_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_BANKOB102_01326_SEQ_15<tab>","TEXT_BANKOB102_01326_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_BANKOB102_01326_SEQ_16<tab>","TEXT_BANKOB102_01326_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_BANKOB102_01326_SEQ_17<tab>","TEXT_BANKOB102_01326_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_BANKOB102_01326_SEQ_18<tab>","TEXT_BANKOB102_01326_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_BANKOB102_01326_SEQ_19<tab>","TEXT_BANKOB102_01326_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_BANKOB102_01326_SEQ_20<tab>","TEXT_BANKOB102_01326_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_BANKOB102_01326_SEQ_21<tab>","TEXT_BANKOB102_01326_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_BANKOB102_01326_SEQ_22<tab>","TEXT_BANKOB102_01326_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_BANKOB102_01326_SEQ_23<tab>","TEXT_BANKOB102_01326_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_BANKOB102_01326_TODO_00<tab>Acquire lavish lunchpots from Iron Lake.","TEXT_BANKOB102_01326_TODO_00<tab>Prendre <var 33 ((EventItem)) 03F61E89630302 /var> au lac de Fer","","False","0x00000018","",""
"","TEXT_BANKOB102_01326_TODO_01<tab>Deliver lavish lunchpots to 789th Order Dustman Bo Zu.","TEXT_BANKOB102_01326_TODO_01<tab>Donner <var 33 ((EventItem)) 03F61E89630302 /var> à Bo Zu","","False","0x00000019","",""
"","TEXT_BANKOB102_01326_TODO_02<tab>","TEXT_BANKOB102_01326_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_BANKOB102_01326_TODO_03<tab>","TEXT_BANKOB102_01326_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_BANKOB102_01326_TODO_04<tab>","TEXT_BANKOB102_01326_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_BANKOB102_01326_TODO_05<tab>","TEXT_BANKOB102_01326_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_BANKOB102_01326_TODO_06<tab>","TEXT_BANKOB102_01326_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_BANKOB102_01326_TODO_07<tab>","TEXT_BANKOB102_01326_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_BANKOB102_01326_TODO_08<tab>","TEXT_BANKOB102_01326_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_BANKOB102_01326_TODO_09<tab>","TEXT_BANKOB102_01326_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_BANKOB102_01326_TODO_10<tab>","TEXT_BANKOB102_01326_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_BANKOB102_01326_TODO_11<tab>","TEXT_BANKOB102_01326_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_BANKOB102_01326_TODO_12<tab>","TEXT_BANKOB102_01326_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_BANKOB102_01326_TODO_13<tab>","TEXT_BANKOB102_01326_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_BANKOB102_01326_TODO_14<tab>","TEXT_BANKOB102_01326_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_BANKOB102_01326_TODO_15<tab>","TEXT_BANKOB102_01326_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_BANKOB102_01326_TODO_16<tab>","TEXT_BANKOB102_01326_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_BANKOB102_01326_TODO_17<tab>","TEXT_BANKOB102_01326_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_BANKOB102_01326_TODO_18<tab>","TEXT_BANKOB102_01326_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_BANKOB102_01326_TODO_19<tab>","TEXT_BANKOB102_01326_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_BANKOB102_01326_TODO_20<tab>","TEXT_BANKOB102_01326_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_BANKOB102_01326_TODO_21<tab>","TEXT_BANKOB102_01326_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_BANKOB102_01326_TODO_22<tab>","TEXT_BANKOB102_01326_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_BANKOB102_01326_TODO_23<tab>","TEXT_BANKOB102_01326_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_BANKOB102_01326_BOZU_000_000<tab>The unfairness─injustice, iniquity, unfairness of it all!","TEXT_BANKOB102_01326_BOZU_000_000<tab>Moouuuaaargh... J'ai trop faim, oui, j'ai tellement faim que ça me donne encore plus faim<var 1D /var>!","","False","0x00000030","",""
"","TEXT_BANKOB102_01326_BOZU_000_001<tab>While the 789th goes famished─starving, hungry, famished─Zo Ga and his cronies feast! Feast on lunchpots packed, yes, so packed with tasty treats that a single one could feed our entire dig for a week.","TEXT_BANKOB102_01326_BOZU_000_001<tab>Tu sais quoi, les gars des autres ordres, ceux qui travaillent bien, oui, eh bien, on leur donne des casse-croûtes, oui<var 1D /var>! C'est vraiment injuste, oui, c'est carrément injuste<var 1D /var>!","","False","0x00000031","",""
"","TEXT_BANKOB102_01326_BOZU_000_002<tab>Should Zo Ga and his hardworking cronies get all the rewards? No, no, a hundred times no! Yes, our tummies are rumbling─grumbling, mumbling, rumbling─as much as theirs!","TEXT_BANKOB102_01326_BOZU_000_002<tab>Je me demande bien quel genre de casse-croûte ça peut bien être, oui...<br>Moouuaaarh... Mon ventre gargouille encore plus rien que d'y penser, oui, il gargouille plus...","","False","0x00000032","",""
"","TEXT_BANKOB102_01326_BOZU_000_003<tab>Why, I have a notion─a thought, a mind, a notion─to walk right over to Iron Lake and snatch one or three for myself. But walking is hard work. Yes, yes, and your legs are so much <var 08 E4E94804 ((stronger)) ((longer)) /var> than mine...","TEXT_BANKOB102_01326_BOZU_000_003<tab>Humain<var 08 E905 ((e)) (()) /var>, tu veux pas aller en chiper trois pour moi, oui<var 1D /var>? Tu n'as qu'à chercher au lac de Fer, oui, va chercher là-bas<var 1D /var>!<var 1D /var>... Dépêche-toi, oui<var 1D /var>!","","False","0x00000033","",""
