"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBMCH451_01702_SEQ_00<tab>Stephanivien is growing impatient to leave.","TEXT_JOBMCH451_01702_SEQ_00<tab>Stephanivien is growing impatient to leave.","","False","0x00000000","",""
"","TEXT_JOBMCH451_01702_SEQ_01<tab>Stephanivien is eager to set off to Bloodshore, but it seems that Joye has yet to return from her duties at the manor. Head to the Pillars, and search the markets for the busy machinist.","TEXT_JOBMCH451_01702_SEQ_01<tab>Stephanivien is eager to set off to Bloodshore, but it seems that Joye has yet to return from her duties at the manor. Head to the Pillars, and search the markets for the busy machinist.","","False","0x00000001","",""
"","TEXT_JOBMCH451_01702_SEQ_02<tab>You find Joye in the markets, but she is still occupied with carrying her purchases to the manor. Though it seems she would prefer to take responsibility for her chores, your training at Bloodshore cannot wait. Pick up the heavy sack bound for the House Haillenarte storeroom.","TEXT_JOBMCH451_01702_SEQ_02<tab>You find Joye in the markets, but she is still occupied with carrying her purchases to the manor. Though it seems she would prefer to take responsibility for her chores, your training at Bloodshore cannot wait. Pick up the heavy sack bound for the House Haillenarte storeroom.","","False","0x00000002","",""
"","TEXT_JOBMCH451_01702_SEQ_03<tab>You wait for Joye to depart, then lift the hefty sack of shopping. Make your way to Haillenarte Manor and deliver the goods to your machinist colleague.","TEXT_JOBMCH451_01702_SEQ_03<tab>You wait for Joye to depart, then lift the hefty sack of shopping. Make your way to Haillenarte Manor and deliver the goods to your machinist colleague.","","False","0x00000003","",""
"","TEXT_JOBMCH451_01702_SEQ_04<tab>You deliver the sack, much to Joye and the count's surprise, and free the diligent girl from the last of her chores. Make your way to Bloodshore and report to Stephanivien.","TEXT_JOBMCH451_01702_SEQ_04<tab>You deliver the sack, much to Joye and the count's surprise, and free the diligent girl from the last of her chores. Make your way to Bloodshore and report to Stephanivien.","","False","0x00000004","",""
"","TEXT_JOBMCH451_01702_SEQ_05<tab>You arrive in Bloodshore, and Stephanivien explains that the purpose of the training exercise is to practice hindering movement so that you might avoid the melee weapons of the knights in the tourney. Despite an unexpected arrival, you and Joye successfully complete the exercise to Rostnsthal and Stephanivien's satisfaction. Return to the Skysteel Manufactory and speak with the chief machinist.","TEXT_JOBMCH451_01702_SEQ_05<tab>You arrive in Bloodshore, and Stephanivien explains that the purpose of the training exercise is to practice hindering movement so that you might avoid the melee weapons of the knights in the tourney. Despite an unexpected arrival, you and Joye successfully complete the exercise to Rostnsthal and Stephanivien's satisfaction. Return to the Skysteel Manufactory and speak with the chief machinist.","","False","0x00000005","",""
"","TEXT_JOBMCH451_01702_SEQ_06<tab>Stephanivien seems concerned by Joye's sudden lack of enthusiasm, but believes that she will return to form in the heat of the battle. Continue your training in preparation for the coming tourney.<br><br>※The next machinist quest will be available from Stephanivien upon reaching level 50.","TEXT_JOBMCH451_01702_SEQ_06<tab>Stephanivien seems concerned by Joye's sudden lack of enthusiasm, but believes that she will return to form in the heat of the battle. Continue your training in preparation for the coming tourney.<br><br>※The next machinist quest will be available from Stephanivien upon reaching level 50.","","False","0x00000006","",""
"","TEXT_JOBMCH451_01702_SEQ_07<tab>","TEXT_JOBMCH451_01702_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_JOBMCH451_01702_SEQ_08<tab>","TEXT_JOBMCH451_01702_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBMCH451_01702_SEQ_09<tab>","TEXT_JOBMCH451_01702_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBMCH451_01702_SEQ_10<tab>","TEXT_JOBMCH451_01702_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBMCH451_01702_SEQ_11<tab>","TEXT_JOBMCH451_01702_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBMCH451_01702_SEQ_12<tab>","TEXT_JOBMCH451_01702_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBMCH451_01702_SEQ_13<tab>","TEXT_JOBMCH451_01702_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBMCH451_01702_SEQ_14<tab>","TEXT_JOBMCH451_01702_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBMCH451_01702_SEQ_15<tab>","TEXT_JOBMCH451_01702_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBMCH451_01702_SEQ_16<tab>","TEXT_JOBMCH451_01702_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBMCH451_01702_SEQ_17<tab>","TEXT_JOBMCH451_01702_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBMCH451_01702_SEQ_18<tab>","TEXT_JOBMCH451_01702_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBMCH451_01702_SEQ_19<tab>","TEXT_JOBMCH451_01702_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBMCH451_01702_SEQ_20<tab>","TEXT_JOBMCH451_01702_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBMCH451_01702_SEQ_21<tab>","TEXT_JOBMCH451_01702_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBMCH451_01702_SEQ_22<tab>","TEXT_JOBMCH451_01702_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBMCH451_01702_SEQ_23<tab>","TEXT_JOBMCH451_01702_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBMCH451_01702_TODO_00<tab>Find Joye in the Pillars.","TEXT_JOBMCH451_01702_TODO_00<tab>Find Joye in the Pillars.","","False","0x00000018","",""
"","TEXT_JOBMCH451_01702_TODO_01<tab>Pick up the heavy sack.","TEXT_JOBMCH451_01702_TODO_01<tab>Pick up the heavy sack.","","False","0x00000019","",""
"","TEXT_JOBMCH451_01702_TODO_02<tab>Deliver the heavy sack to Joye.","TEXT_JOBMCH451_01702_TODO_02<tab>Deliver the heavy sack to Joye.","","False","0x0000001A","",""
"","TEXT_JOBMCH451_01702_TODO_03<tab>Speak with Stephanivien at Bloodshore.","TEXT_JOBMCH451_01702_TODO_03<tab>Speak with Stephanivien at Bloodshore.","","False","0x0000001B","",""
"","TEXT_JOBMCH451_01702_TODO_04<tab>Speak with Stephanivien at the Skysteel Manufactory.","TEXT_JOBMCH451_01702_TODO_04<tab>Speak with Stephanivien at the Skysteel Manufactory.","","False","0x0000001C","",""
"","TEXT_JOBMCH451_01702_TODO_05<tab>","TEXT_JOBMCH451_01702_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_JOBMCH451_01702_TODO_06<tab>","TEXT_JOBMCH451_01702_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_JOBMCH451_01702_TODO_07<tab>","TEXT_JOBMCH451_01702_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_JOBMCH451_01702_TODO_08<tab>","TEXT_JOBMCH451_01702_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_JOBMCH451_01702_TODO_09<tab>","TEXT_JOBMCH451_01702_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_JOBMCH451_01702_TODO_10<tab>","TEXT_JOBMCH451_01702_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_JOBMCH451_01702_TODO_11<tab>","TEXT_JOBMCH451_01702_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_JOBMCH451_01702_TODO_12<tab>","TEXT_JOBMCH451_01702_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_JOBMCH451_01702_TODO_13<tab>","TEXT_JOBMCH451_01702_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_JOBMCH451_01702_TODO_14<tab>","TEXT_JOBMCH451_01702_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_JOBMCH451_01702_TODO_15<tab>","TEXT_JOBMCH451_01702_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_JOBMCH451_01702_TODO_16<tab>","TEXT_JOBMCH451_01702_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_JOBMCH451_01702_TODO_17<tab>","TEXT_JOBMCH451_01702_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_JOBMCH451_01702_TODO_18<tab>","TEXT_JOBMCH451_01702_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_JOBMCH451_01702_TODO_19<tab>","TEXT_JOBMCH451_01702_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_JOBMCH451_01702_TODO_20<tab>","TEXT_JOBMCH451_01702_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_JOBMCH451_01702_TODO_21<tab>","TEXT_JOBMCH451_01702_TODO_21<tab>","","False","0x0000002D","",""
