"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_HEAVNY003_02113_SEQ_00<tab>Notrelchamps has a message for you from an old friend.","TEXT_HEAVNY003_02113_SEQ_00<tab>Notrelchamps a un message confidentiel à vous transmettre.","","False","0x00000000","",""
"","TEXT_HEAVNY003_02113_SEQ_01<tab>Notrelchamps informs you that your erstwhile companion Wedge is looking for you to assist in some top secret project of the utmost urgency. Seek the small fellow out at the Aetherochemical Research Facility in Azys Lla and see what could possibly be so important.","TEXT_HEAVNY003_02113_SEQ_01<tab>Notrelchamps vous a fait savoir que Wedge avait besoin de vous parler. Retrouvez-le près de l'entrée du Laboratoire de magismologie, à Azys Lla.","","False","0x00000001","",""
"","TEXT_HEAVNY003_02113_SEQ_02<tab>You meet Wedge at the Aetherochemical Research Facility, where he reveals the nature of his project. The ever-emotional youth seeks to restore life to “Gilly,” the helpful guidance node who showed you about in your travels through Azys Lla. To that end, he entreats you to travel to the Fractal Continuum─a museum of Allagan technology housed inside a decommissioned warship─and come back with a new node nacelle, into which Gilly's “heart” might be transferred. Venture to Matter Conduit VI<var 1F /var>VII and access the teleporter there.","TEXT_HEAVNY003_02113_SEQ_02<tab>Il se trouve que le Lalafell cherche un moyen de ressusciter la sphère de guidage qui vous a accompagné<var 08 E905 ((e)) (()) /var> tout au long de votre périple à Azys Lla. Il pense avoir découvert un endroit où pourrait se trouver une unité centrale de rem<var 16 /var>pla<var 16 /var>ce<var 16 /var>ment, une sorte de musée appelé Le Continuum fractal. Pour vous y rendre, utilisez le téléporteur du transfert de matière VI-VII.","","False","0x00000002","",""
"","TEXT_HEAVNY003_02113_SEQ_03<tab>You successfully locate the teleporter that will grant you access to the Fractal Continuum, which issues you a warning regarding security clearance and anti-intruder systems that bodes ill for your impending visit. Ignore it and brave whatever awaits within, that Gilly might live on.<br><br>※The Fractal Continuum can be accessed via the Duty Finder.","TEXT_HEAVNY003_02113_SEQ_03<tab>Vous êtes arrivé<var 08 E905 ((e)) (()) /var> à votre destination. Entrez dans Le Continuum fractal et trouvez une nouvelle unité centrale pour la grosse boule<var 1D /var>!<br>* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour relever ce défi.","","False","0x00000003","",""
"","TEXT_HEAVNY003_02113_SEQ_04<tab>You have triumphed over the chimerical horrors that inhabited the Fractal Continuum to emerge with a top-of-the-line nacelle that will serve as a new body for Wedge's favorite guidance node. Take pride in the fact that you've done right by Gilly, and deliver the nacelle to the Lalafellin engineer back at the Aetherochemical Research Facility.","TEXT_HEAVNY003_02113_SEQ_04<tab>Après avoir surmonté les obstacles du Continuum fractal, vous avez récupéré <var 33 ((EventItem)) 02F61E8BDA0202 /var>. Allez la montrer à Wedge, près de l'entrée du Laboratoire de magismologie.","","False","0x00000004","",""
"","TEXT_HEAVNY003_02113_SEQ_05<tab>Gilly's new body works like a charm, and Wedge rejoices at being reunited with his friend. He then entrusts the guidance node to you, that she might accompany you on your adventures and see that there is more to the world than the aetheric wastes she has known for the past five thousand years. Go forth with your loyal new accompaniment node at your side!","TEXT_HEAVNY003_02113_SEQ_05<tab>Grâce à vous, Wedge est aux anges car la nouvelle unité centrale a permis à la sphère de guidage de reprendre conscience. À votre tour de lui faire voir du pays en l'emmenant partout avec vous<var 1D /var>!","","False","0x00000005","",""
"","TEXT_HEAVNY003_02113_SEQ_06<tab>","TEXT_HEAVNY003_02113_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_HEAVNY003_02113_SEQ_07<tab>","TEXT_HEAVNY003_02113_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_HEAVNY003_02113_SEQ_08<tab>","TEXT_HEAVNY003_02113_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_HEAVNY003_02113_SEQ_09<tab>","TEXT_HEAVNY003_02113_SEQ_09<tab>","","False","0x00000009","",""
