"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_FESXMS301_03009_SEQ_00<tab>Amh Garanjy needs your help to make a success of this year's Starlight Celebration.<br>※This quest is available for a limited time only.","TEXT_FESXMS301_03009_SEQ_00<tab>Amh Garanjy needs your help to make a success of this year's Starlight Celebration.<br>※This quest is available for a limited time only.","","False","0x00000000","",""
"","TEXT_FESXMS301_03009_SEQ_01<tab>The land is filled with the merriment of the Starlight Celebration once again. Owing to a recent theft of decorations, however, the festival now suffers from a lack of staff, as many have been tasked with tracking down the perpetrators. Amh Garanjy bids you consult with Baenfaeld in Bentbranch Meadows if you wish to be of assistance.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","TEXT_FESXMS301_03009_SEQ_01<tab>The land is filled with the merriment of the Starlight Celebration once again. Owing to a recent theft of decorations, however, the festival now suffers from a lack of staff, as many have been tasked with tracking down the perpetrators. Amh Garanjy bids you consult with Baenfaeld in Bentbranch Meadows if you wish to be of assistance.<br><br>※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone.","","False","0x00000001","",""
"","TEXT_FESXMS301_03009_SEQ_02<tab>The children of Bentbranch Meadows are inconsolable following the theft of the decorations they worked so hard to prepare. Luckily, Baenfaeld has a proposal. He and a trio of crimson-clad bears have been preparing a special treat for the festival, sure to bring a smile to one and all. Once you have chosen one of the three bears to act as your mount, the next part of the plan can be put into action.","TEXT_FESXMS301_03009_SEQ_02<tab>The children of Bentbranch Meadows are inconsolable following the theft of the decorations they worked so hard to prepare. Luckily, Baenfaeld has a proposal. He and a trio of crimson-clad bears have been preparing a special treat for the festival, sure to bring a smile to one and all. Once you have chosen one of the three bears to act as your mount, the next part of the plan can be put into action.","","False","0x00000002","",""
"","TEXT_FESXMS301_03009_SEQ_03<tab>Having selected the right bear for the job, you are now ready to bring cheer to the local youngsters. Head to the location marked on the map, and throw a starburst while riding <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var> to spread some festive joy.<br><br>※Speak with the Starlight Bear handler in Bentbranch Meadows to mount <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var>.","TEXT_FESXMS301_03009_SEQ_03<tab>Having selected the right bear for the job, you are now ready to bring cheer to the local youngsters. Head to the location marked on the map, and throw a starburst while riding <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var> to spread some festive joy.<br><br>※Speak with the Starlight Bear handler in Bentbranch Meadows to mount <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var>.","","False","0x00000003","",""
"","TEXT_FESXMS301_03009_SEQ_04<tab>The first attempt was a roaring success, met with smiles and laughter. The next in line to witness the bears' unique brand of merrymaking is a lad named Taff, over by the chocobo stables.<br><br>※Speak with the Starlight Bear handler in Bentbranch Meadows to mount <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var>.","TEXT_FESXMS301_03009_SEQ_04<tab>The first attempt was a roaring success, met with smiles and laughter. The next in line to witness the bears' unique brand of merrymaking is a lad named Taff, over by the chocobo stables.<br><br>※Speak with the Starlight Bear handler in Bentbranch Meadows to mount <var 09 E948 ((Kochab)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Pferkad)) ((Kochab)) ((Polaris)) ((<var 08 E905 ((Kochab)) ((Polaris)) /var>)) ((Polaris)) ((Kochab)) /var>.","","False","0x00000004","",""
"","TEXT_FESXMS301_03009_SEQ_05<tab>Taff was somewhat impressed by the pyrotechnics, although not as delighted as the other children. It seems he has something weighing on his mind.","TEXT_FESXMS301_03009_SEQ_05<tab>Taff was somewhat impressed by the pyrotechnics, although not as delighted as the other children. It seems he has something weighing on his mind.","","False","0x00000005","",""
"","TEXT_FESXMS301_03009_SEQ_06<tab>It would appear that Taff has vital information relating to the theft of the decorations. However, the other locals dismissed his account, despite his conviction. Needless to say, your adventurer's instincts compel you to follow this line of inquiry.","TEXT_FESXMS301_03009_SEQ_06<tab>It would appear that Taff has vital information relating to the theft of the decorations. However, the other locals dismissed his account, despite his conviction. Needless to say, your adventurer's instincts compel you to follow this line of inquiry.","","False","0x00000006","",""
"","TEXT_FESXMS301_03009_SEQ_07<tab>","TEXT_FESXMS301_03009_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_FESXMS301_03009_SEQ_08<tab>","TEXT_FESXMS301_03009_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_FESXMS301_03009_SEQ_09<tab>","TEXT_FESXMS301_03009_SEQ_09<tab>","","False","0x00000009","",""
