"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_JOBREL500_02396_SEQ_00<tab>Ardashir seems eager to tell you something.<br>※Changing classes or jobs will prevent progress during this quest.","TEXT_JOBREL500_02396_SEQ_00<tab>Ardashir hat genug erfahren, um das Veredelungssystem reparieren zu können.<br><br>※ Dies ist ein <var 48 F201F6 /var><var 49 F201F7 /var> Auftrag mit festem Job<var 49 01 /var><var 48 01 /var>. Er kann nur mit dem Job weitergespielt werden, mit dem er angenommen wurde.","","False","0x00000000","",""
"","TEXT_JOBREL500_02396_SEQ_01<tab>Ardashir has good news to share with you─work on the processing node vital to his work is nearly complete. His elation is soon dampened, however, when Gerolt rebukes him for not lifting a finger to help. The young scholar soon insists on doing his fair share of the work, but never fear─there is plenty to go around. Ardashir wastes no time in splitting up his duties, tasking you with obtaining three oddities needed to forge the new anima weapon: a rare gemstone from Amdapor, a magicked doll from the Great Gubal Library, and molten rock from Sohm Al.","TEXT_JOBREL500_02396_SEQ_01<tab><var 48 F201F6 /var><var 49 F201F7 /var> Auftrag mit festem Job<var 49 01 /var><var 48 01 /var><br>Ardashir hat allagische Quellen und seine eigenen Forschungen zu Rate gezogen. Die synthetische Seele soll einen neuen Seelenstein und ein neues Zuhause bekommen. Dabei werden auch zwei allagische Systeme helfen. Während Gerolt das Veredelungssystem repariert, ist es deine Aufgabe, drei Gegenstände zu besorgen - die ausgerechnet an den gefährlichsten Orten Eorzeas verborgen sind:<br><br><var 2B ((<var 32 ((EventItem)) 02F61E8C6E020502 /var>)) /var> aus dem Historischen Amdapor (schwer)<br><var 2B ((<var 32 ((EventItem)) 02F61E8C6F020502 /var>)) /var> aus der Großen Gubal-Bibliothek (schwer)<br><var 2B ((<var 32 ((EventItem)) 02F61E8C70020502 /var>)) /var> aus Sohm Al (schwer)<br><br>※ Die Inhalte können über die Inhaltssuche gestartet werden.<br>※ Der Auftrag kann nicht aus dem Archiv entfernt werden. Sprich mit Ardashir, um den Auftrag vorzeitig zu beenden und aus dem Archiv zu entfernen.<br>※ Stelle sicher, dass du die Anima-Waffe angelegt oder in Besitz hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.","","False","0x00000001","",""
"","TEXT_JOBREL500_02396_SEQ_02<tab>Braving the perils of Eorzea's darkest dungeons you emerge unscathed, and three rarities richer for the experience. You can only hope Ardashir will have completed his tasks by the time you get back.","TEXT_JOBREL500_02396_SEQ_02<tab>Bringe die erbeuteten Gegenstände zu Gerolt in der Helix.<br><br>※ Stelle sicher, dass du die Anima-Waffe angelegt oder in Besitz hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.","","False","0x00000002","",""
"","TEXT_JOBREL500_02396_SEQ_03<tab>You arrive in Azys Lla to find the processing node is fully operational. Not wanting to waste time, Ardashir insists Gerolt ignore his thirst for ale and begin work on the weapon. Meanwhile, he would have you activate the now-functioning node.","TEXT_JOBREL500_02396_SEQ_03<tab>Gerolt beginnt nun, ein neues Zuhause für die synthetische Seele zu schmieden. Interagiere in der Zwischenzeit mit dem Veredelungssystem, um einen neuen Seelenstein herzustellen.<br><br>※ Stelle sicher, dass du die Anima-Waffe angelegt oder in Besitz hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.","","False","0x00000003","",""
"","TEXT_JOBREL500_02396_SEQ_04<tab>The node springs to life with a buzz and a whir, ready to fashion you a soulstone. Assuming you have the required materials, of course. When you are finished with the processing node, Ardashir asks that you activate the verification node in preparation for the anima's transfer.","TEXT_JOBREL500_02396_SEQ_04<tab>Du hast dich mit dem Veredelungssystem vertraut gemacht. Interagiere noch einmal mit dem System, um mit der Herstellung eines neuen Seelensteins zu beginnen.<br>Sobald du einen neuen Seelenstein hast, kannst du mit dem Authentifizierungssystem sprechen, um mit dem Prozess fortzufahren.<br><br>※ Stelle sicher, dass du die Anima-Waffe angelegt oder in Besitz hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.","","False","0x00000004","",""
"","TEXT_JOBREL500_02396_SEQ_05<tab>Moving the anima to a new soulstone will incur great risk, as there is a chance the fledgling spirit will dissipate into the aether before the process is complete. After extensive research, however, Ardashir has discovered the means to ensure the anima's safety: increasing its aetheric density. As he explains it, the anima weapon's recent treatment of ceruleum has enhanced its aether-absorbing abilities, making now the opportune time to carry out his plan. He furnishes you with a monitoring device, and bids you continue your routine acts of heroism. When the anima has absorbed sufficient levels of aether, his most recent discovery─the verification node─will analyze the anima weapon and determine your chances of success. Ardashir is not one to gamble, however, and says he will not be satisfied until failure is a mathematical improbability.<br><br>※Should you misplace the anima glass, you may obtain a new one by speaking with Ardashir at Azys Lla.","TEXT_JOBREL500_02396_SEQ_05<tab>Ardashir befürchtet, dass die synthetische Seele sich bei dem Umsiedlungsprozess verflüchtigen könnte. Es gilt nun, sie zu verdichten. Er hat dir dafür eine verbesserte Anima-Linse überlassen, mit der du den Verdichtungsgrad der Seele überprüfen kannst. Kämpfe mit der geschärften Anima-Waffe in bestimmten Inhalten, bis die synthetische Seele ausreichend verdichtet ist, und sprich dann noch einmal mit dem Authentifizierungssystem.<br><br>※ Stelle sicher, dass du die Anima-Waffe angelegt hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.<br>※ Falls du deine verbesserte Anima-Linse verlieren solltest, kannst du dir von Ardashir eine neue aushändigen lassen.","","False","0x00000005","",""
"","TEXT_JOBREL500_02396_SEQ_06<tab>You traverse the realm to fortify the anima through feats of heroism both great and small, from saving cats trapped on cold stone rooves to slaying beasts sent from the void. Confident that the anima is ready, you return to Azys Lla to have the anima weapon examined. The verification node begins its analysis, and after what seems an eternity, you are pleased to hear the chance of failure is nigh on impossible. All that remains is carrying out the transfer.","TEXT_JOBREL500_02396_SEQ_06<tab>Das Authentifizierungssystem hat bestätigt, dass der Verdichtungsgrad für die Umsiedlung ausreichend ist. Gib Gerolt <var 32 ((Item)) 03F24224020502 /var> und die geschärfte Anima-Waffe, damit er die Umsiedlung einleiten kann.<br><br>※ Stelle sicher, dass du die Anima-Waffe ablegst und in Besitz hast, und den gleichen Job wie zu Beginn der Auftragsreihe gewählt hast.","","False","0x00000006","",""
"","TEXT_JOBREL500_02396_SEQ_07<tab>His plans have been perfect, his calculations impeccable, yet Ardashir cannot dismiss his impending sense of dread. His doubts are soon cast aside, however, when Gerolt surprises him with a few choice words reminiscent of encouragement. Duly inspired, they set to work, and it is not long before the anima is placed securely in its new soulstone and weapon...or so they think. You hold your freshly forged weapon aloft, but when you call forth the anima, the lack of response gives you pause. Just when Ardashir had begun to lose hope, the anima appears from a blinding flash of light, regaling you with talk of an otherworldly experience. The anima is safe, now and forevermore. But Ardashir mentions he has one last order of business to discuss with you. Whatever could it be?<br><br>※ The attributes of the anima weapon can be reallocated by speaking with Ulan in Idyllshire.","TEXT_JOBREL500_02396_SEQ_07<tab>Ihr habt eine neue Anima-Waffe geschaffen. Sie ist nun in der Lage, eigene Entscheidungen zu treffen - ein großartiger Fortschritt. Nimm deinen neuen Weggefährten mit an die gefährlichsten Orte von ganz Eorzea!<br><br>※ Die Parameterwerte der Anima-Waffe können jederzeit neu verteilt werden. Sprich dazu Ulan in Frohehalde an.","","False","0x00000007","",""
"","TEXT_JOBREL500_02396_SEQ_08<tab>","TEXT_JOBREL500_02396_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_JOBREL500_02396_SEQ_09<tab>","TEXT_JOBREL500_02396_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_JOBREL500_02396_SEQ_10<tab>","TEXT_JOBREL500_02396_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_JOBREL500_02396_SEQ_11<tab>","TEXT_JOBREL500_02396_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_JOBREL500_02396_SEQ_12<tab>","TEXT_JOBREL500_02396_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_JOBREL500_02396_SEQ_13<tab>","TEXT_JOBREL500_02396_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_JOBREL500_02396_SEQ_14<tab>","TEXT_JOBREL500_02396_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_JOBREL500_02396_SEQ_15<tab>","TEXT_JOBREL500_02396_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_JOBREL500_02396_SEQ_16<tab>","TEXT_JOBREL500_02396_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_JOBREL500_02396_SEQ_17<tab>","TEXT_JOBREL500_02396_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_JOBREL500_02396_SEQ_18<tab>","TEXT_JOBREL500_02396_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_JOBREL500_02396_SEQ_19<tab>","TEXT_JOBREL500_02396_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_JOBREL500_02396_SEQ_20<tab>","TEXT_JOBREL500_02396_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_JOBREL500_02396_SEQ_21<tab>","TEXT_JOBREL500_02396_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_JOBREL500_02396_SEQ_22<tab>","TEXT_JOBREL500_02396_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_JOBREL500_02396_SEQ_23<tab>","TEXT_JOBREL500_02396_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_JOBREL500_02396_TODO_00<tab>With <var 08 E4E80514 ((<var 31 ((Item)) 03F23B850202 /var> and <var 31 ((Item)) 03F23B920202 /var>)) ((<var 08 E4E80515 ((<var 31 ((Item)) 03F23B860202 /var>)) ((<var 08 E4E80516 ((<var 31 ((Item)) 03F23B870202 /var>)) ((<var 08 E4E80517 ((<var 31 ((Item)) 03F23B880202 /var>)) ((<var 08 E4E80518 ((<var 31 ((Item)) 03F23B890202 /var>)) ((<var 08 E4E80519 ((<var 31 ((Item)) 03F23B8D0202 /var>)) ((<var 08 E4E8051A ((<var 31 ((Item)) 03F23B8E0202 /var>)) ((<var 08 E4E8051C ((<var 31 ((Item)) 03F23B8F0202 /var>)) ((<var 08 E4E8051D ((<var 31 ((Item)) 03F23B900202 /var>)) ((<var 08 E4E8051F ((<var 31 ((Item)) 03F23B8A0202 /var>)) ((<var 08 E4E80520 ((<var 31 ((Item)) 03F23B8C0202 /var>)) ((<var 08 E4E80521 ((<var 31 ((Item)) 03F23B8B0202 /var>)) ((<var 08 E4E80522 ((<var 31 ((Item)) 03F23B910202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> equipped or in your inventory, obtain a magicked bauble from the Lost City of Amdapor (Hard).","TEXT_JOBREL500_02396_TODO_00<tab>Im Historischen Amdapor (schwer) <var 32 ((EventItem)) 02F61E8C6E020502 /var> erbeuten","","False","0x00000018","",""
"","TEXT_JOBREL500_02396_TODO_01<tab>With <var 08 E4E80514 ((<var 31 ((Item)) 03F23B850202 /var> and <var 31 ((Item)) 03F23B920202 /var>)) ((<var 08 E4E80515 ((<var 31 ((Item)) 03F23B860202 /var>)) ((<var 08 E4E80516 ((<var 31 ((Item)) 03F23B870202 /var>)) ((<var 08 E4E80517 ((<var 31 ((Item)) 03F23B880202 /var>)) ((<var 08 E4E80518 ((<var 31 ((Item)) 03F23B890202 /var>)) ((<var 08 E4E80519 ((<var 31 ((Item)) 03F23B8D0202 /var>)) ((<var 08 E4E8051A ((<var 31 ((Item)) 03F23B8E0202 /var>)) ((<var 08 E4E8051C ((<var 31 ((Item)) 03F23B8F0202 /var>)) ((<var 08 E4E8051D ((<var 31 ((Item)) 03F23B900202 /var>)) ((<var 08 E4E8051F ((<var 31 ((Item)) 03F23B8A0202 /var>)) ((<var 08 E4E80520 ((<var 31 ((Item)) 03F23B8C0202 /var>)) ((<var 08 E4E80521 ((<var 31 ((Item)) 03F23B8B0202 /var>)) ((<var 08 E4E80522 ((<var 31 ((Item)) 03F23B910202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> equipped or in your inventory, obtain an ancient magicked poppet from the Great Gubal Library (Hard).","TEXT_JOBREL500_02396_TODO_01<tab>In der Großen Gubal-Bibliothek (schwer) <var 32 ((EventItem)) 02F61E8C6F020502 /var> erbeuten","","False","0x00000019","",""
"","TEXT_JOBREL500_02396_TODO_02<tab>With <var 08 E4E80514 ((<var 31 ((Item)) 03F23B850202 /var> and <var 31 ((Item)) 03F23B920202 /var>)) ((<var 08 E4E80515 ((<var 31 ((Item)) 03F23B860202 /var>)) ((<var 08 E4E80516 ((<var 31 ((Item)) 03F23B870202 /var>)) ((<var 08 E4E80517 ((<var 31 ((Item)) 03F23B880202 /var>)) ((<var 08 E4E80518 ((<var 31 ((Item)) 03F23B890202 /var>)) ((<var 08 E4E80519 ((<var 31 ((Item)) 03F23B8D0202 /var>)) ((<var 08 E4E8051A ((<var 31 ((Item)) 03F23B8E0202 /var>)) ((<var 08 E4E8051C ((<var 31 ((Item)) 03F23B8F0202 /var>)) ((<var 08 E4E8051D ((<var 31 ((Item)) 03F23B900202 /var>)) ((<var 08 E4E8051F ((<var 31 ((Item)) 03F23B8A0202 /var>)) ((<var 08 E4E80520 ((<var 31 ((Item)) 03F23B8C0202 /var>)) ((<var 08 E4E80521 ((<var 31 ((Item)) 03F23B8B0202 /var>)) ((<var 08 E4E80522 ((<var 31 ((Item)) 03F23B910202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> equipped or in your inventory, obtain spectral magma from Sohm Al (Hard).","TEXT_JOBREL500_02396_TODO_02<tab>In Sohm Al (schwer) <var 32 ((EventItem)) 02F61E8C70020502 /var> erbeuten","","False","0x0000001A","",""
"","TEXT_JOBREL500_02396_TODO_03<tab>With <var 08 E4E80514 ((<var 31 ((Item)) 03F23B850202 /var> and <var 31 ((Item)) 03F23B920202 /var>)) ((<var 08 E4E80515 ((<var 31 ((Item)) 03F23B860202 /var>)) ((<var 08 E4E80516 ((<var 31 ((Item)) 03F23B870202 /var>)) ((<var 08 E4E80517 ((<var 31 ((Item)) 03F23B880202 /var>)) ((<var 08 E4E80518 ((<var 31 ((Item)) 03F23B890202 /var>)) ((<var 08 E4E80519 ((<var 31 ((Item)) 03F23B8D0202 /var>)) ((<var 08 E4E8051A ((<var 31 ((Item)) 03F23B8E0202 /var>)) ((<var 08 E4E8051C ((<var 31 ((Item)) 03F23B8F0202 /var>)) ((<var 08 E4E8051D ((<var 31 ((Item)) 03F23B900202 /var>)) ((<var 08 E4E8051F ((<var 31 ((Item)) 03F23B8A0202 /var>)) ((<var 08 E4E80520 ((<var 31 ((Item)) 03F23B8C0202 /var>)) ((<var 08 E4E80521 ((<var 31 ((Item)) 03F23B8B0202 /var>)) ((<var 08 E4E80522 ((<var 31 ((Item)) 03F23B910202 /var>)) (()) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var>)) /var> equipped or in your inventory, deliver the forging materials to Gerolt in Azys Lla.","TEXT_JOBREL500_02396_TODO_03<tab>Die erbeuteten Gegenstände zu Gerolt bringen","","False","0x0000001B","",""
