"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_000<tab>Squawk! Trespassing on Ehcatl territory, featherless one is! What business have you with us!?","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_000<tab>Croac<var 1D /var>!? <var 08 E905 ((Une)) ((Un)) /var> sans-plumes<var 1D /var>? Qu'est-ce que <var 08 E905 ((celle-là)) ((celui-là)) /var> vient faire ici<var 1D /var>?","","False","0x00000000","",""
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_001<tab>Squawk! Trespassing on Ehcatl territory, featherless one is! What business have you with us!?","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_001<tab>Croac<var 1D /var>!? <var 08 E905 ((Une)) ((Un)) /var> sans-plumes<var 1D /var>? Qu'est-ce que <var 08 E905 ((celle-là)) ((celui-là)) /var> vient faire ici<var 1D /var>?","","False","0x00000001","",""
"","TEXT_REGFSTEHCATL_00203_Q1_000_000<tab>What will you ask?","TEXT_REGFSTEHCATL_00203_Q1_000_000<tab>Que demandez-vous<var 1D /var>?","","False","0x00000002","",""
"","TEXT_REGFSTEHCATL_00203_A1_000_001<tab>Tell me about yourself.","TEXT_REGFSTEHCATL_00203_A1_000_001<tab>Qui êtes-vous<var 1D /var>?","","False","0x00000003","",""
"","TEXT_REGFSTEHCATL_00203_A1_000_002<tab>What kind of place is this?","TEXT_REGFSTEHCATL_00203_A1_000_002<tab>Où suis-je<var 1D /var>?","","False","0x00000004","",""
"","TEXT_REGFSTEHCATL_00203_A1_000_003<tab>Nothing.","TEXT_REGFSTEHCATL_00203_A1_000_003<tab>Rien en particulier","","False","0x00000005","",""
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_010<tab>Guard territory of Ehcatl, Razel does! Step out of line and gut you with talons, Razel will! Squawk!","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_010<tab>Le nom de celui-ci est Razel Huizan<var 1D /var>! La tâche de celui-ci est de monter la garde à l'entrée du centre d'essais d'Ehcatl, pour éviter que des sans-plumes malin<var 16 /var>ten<var 16 /var>tion<var 16 /var>nés ne s'y faufilent<var 1D /var>!","","False","0x00000006","",""
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_011<tab>Gathering of artisans and engineers, this is. Call ourselves “Ehcatl Nine”!","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_011<tab>Ceux-ci sont les Planeurs d'Ehcatl, les plus grands ingénieurs ixali de toute la galaxie<var 1D /var>! Ça en bouche un coin à <var 08 E905 ((celle-là)) ((celui-là)) /var>, pas vrai<var 1D /var>?","","False","0x00000007","",""
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_012<tab>Drawn by dream of Chief Totoloc, we were... Hmmm. To fly again. Yes. To soar!","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_012<tab>Ceux-ci ont conçu ce centre d'essais dirigé par le grand Sezul Totoloc pour réaliser leur rêve<var 1D /var>: voler plus haut, encore plus haut et toujours plus haut<var 1D /var>!","","False","0x00000008","",""
"","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_013<tab>Snigger at our dreams, do you? Hmmm? Have last cackle, we will! Caw!","TEXT_REGFSTEHCATL_00203_RAZELHUIZAN_000_013<tab>Ça fait sourire <var 08 E905 ((celle-là)) ((celui-là)) /var>, peut-être<var 1D /var>? Non<var 1D /var>? Tant mieux, parce que ceux-ci feront tout pour arriver à leurs fins, et personne ne pourra les en empêcher<var 1D /var>! ","","False","0x00000009","",""
