"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBPST020_00240_SEQ_00<tab>The postmoogle's fluttering seems more frantic than usual.","TEXT_SUBPST020_00240_SEQ_00<tab>The postmoogle's fluttering seems more frantic than usual.","","False","0x00000000","",""
"","TEXT_SUBPST020_00240_SEQ_01<tab>The cause of the postmoogle's distress this time becomes quickly evident: a letter with an illegible address. With a bit of guesswork, however, the courier deduces the intended recipient is Wymond. Deliver the post to the sultanate's preeminent information broker on Emerald Avenue, and see if the postmoogle's deduction is any good.","TEXT_SUBPST020_00240_SEQ_01<tab>The cause of the postmoogle's distress this time becomes quickly evident: a letter with an illegible address. With a bit of guesswork, however, the courier deduces the intended recipient is Wymond. Deliver the post to the sultanate's preeminent information broker on Emerald Avenue, and see if the postmoogle's deduction is any good.","","False","0x00000001","",""
"","TEXT_SUBPST020_00240_SEQ_02<tab>Wymond reads the letter─only to discover that it is a ransom note for someone named “Raymond.” The kidnappers, a gang known as the “Purple Haze,” have taken his daughter, and will do her harm unless their demands are met. Wymond bids you find the list from behind the shack at Copperbell Mines, to make up for getting him into this mess.","TEXT_SUBPST020_00240_SEQ_02<tab>Wymond reads the letter─only to discover that it is a ransom note for someone named “Raymond.” The kidnappers, a gang known as the “Purple Haze,” have taken his daughter, and will do her harm unless their demands are met. Wymond bids you find the list from behind the shack at Copperbell Mines, to make up for getting him into this mess.","","False","0x00000002","",""
"","TEXT_SUBPST020_00240_SEQ_03<tab>Deliver it to Wymond, who awaits you at his usual spot on Emerald Avenue.","TEXT_SUBPST020_00240_SEQ_03<tab>Deliver it to Wymond, who awaits you at his usual spot on Emerald Avenue.","","False","0x00000003","",""
"","TEXT_SUBPST020_00240_SEQ_04<tab>Taking the list, Wymond learns that the gang is demanding the deed to a plot of Raymond's ceruleum-rich land in exchange for the girl. The information-monger detects a merchant mastermind behind the scenes, and promises to end the dastardly scheme. He reveals that he once was a member of the Purple Haze─until Hildibrand and a flower girl named Myrtha allowed him to escape from that life. Now, Wymond intends to trap the criminals using the markets of Ul'dah, and bids you speak with Seseroga at the Sapphire Avenue Exchange to purchase ceruleum with a banknote.","TEXT_SUBPST020_00240_SEQ_04<tab>Taking the list, Wymond learns that the gang is demanding the deed to a plot of Raymond's ceruleum-rich land in exchange for the girl. The information-monger detects a merchant mastermind behind the scenes, and promises to end the dastardly scheme. He reveals that he once was a member of the Purple Haze─until Hildibrand and a flower girl named Myrtha allowed him to escape from that life. Now, Wymond intends to trap the criminals using the markets of Ul'dah, and bids you speak with Seseroga at the Sapphire Avenue Exchange to purchase ceruleum with a banknote.","","False","0x00000004","",""
"","TEXT_SUBPST020_00240_SEQ_05<tab>Seseroga proves most obliging after seeing the banknote, and directs you to Syntgoht for all your ceruleum needs.","TEXT_SUBPST020_00240_SEQ_05<tab>Seseroga proves most obliging after seeing the banknote, and directs you to Syntgoht for all your ceruleum needs.","","False","0x00000005","",""
"","TEXT_SUBPST020_00240_SEQ_06<tab>The banknote allows you to strike a deal with Syntgoht. The merchant speaks of fantastic rumors that Garlond Ironworks has invented a way to make airships for a fraction of present costs, and speculates that the price of ceruleum fuel will soon soar. Return now with the ceruleum futures contract to Wymond.","TEXT_SUBPST020_00240_SEQ_06<tab>The banknote allows you to strike a deal with Syntgoht. The merchant speaks of fantastic rumors that Garlond Ironworks has invented a way to make airships for a fraction of present costs, and speculates that the price of ceruleum fuel will soon soar. Return now with the ceruleum futures contract to Wymond.","","False","0x00000006","",""
"","TEXT_SUBPST020_00240_SEQ_07<tab>Wymond reveals the rumors of cost-efficient airships have been greatly exaggerated─by him. Though the hearsay appears real enough thanks to your purchase, it was all a ploy to start a ceruleum craze. He turns next to making it appear as though the Purple Haze will betray the mastermind for a small fortune. To that end, he bids you approach a member of the gang in his haunt, the Coffer & Coffin in central Thanalan, and express your interest in ceruleum-rich land.","TEXT_SUBPST020_00240_SEQ_07<tab>Wymond reveals the rumors of cost-efficient airships have been greatly exaggerated─by him. Though the hearsay appears real enough thanks to your purchase, it was all a ploy to start a ceruleum craze. He turns next to making it appear as though the Purple Haze will betray the mastermind for a small fortune. To that end, he bids you approach a member of the gang in his haunt, the Coffer & Coffin in central Thanalan, and express your interest in ceruleum-rich land.","","False","0x00000007","",""
"","TEXT_SUBPST020_00240_SEQ_08<tab>Over a flagon of grog, the man of the Purple Haze gives you reason to believe he would betray the merchant mastermind...for the right offer. Return with these wispy words and the futures contract to Wymond.","TEXT_SUBPST020_00240_SEQ_08<tab>Over a flagon of grog, the man of the Purple Haze gives you reason to believe he would betray the merchant mastermind...for the right offer. Return with these wispy words and the futures contract to Wymond.","","False","0x00000008","",""
"","TEXT_SUBPST020_00240_SEQ_09<tab>Handing the ceruleum futures contract back to Wymond, you learn that your meeting with the Purple Haze has reached the mastermind's ears. The merchant will reveal himself in order to confront the gang about their dealings─drawing him into the open and right into Wymond's trap. The information-monger asks that you join him to the north of Cutter's Cry in central Thanalan, to rescue the girl and make the villains' plan go up in smoke.","TEXT_SUBPST020_00240_SEQ_09<tab>Handing the ceruleum futures contract back to Wymond, you learn that your meeting with the Purple Haze has reached the mastermind's ears. The merchant will reveal himself in order to confront the gang about their dealings─drawing him into the open and right into Wymond's trap. The information-monger asks that you join him to the north of Cutter's Cry in central Thanalan, to rescue the girl and make the villains' plan go up in smoke.","","False","0x00000009","",""
